slope error QPH QPV
0.0011058841729177295 4.849951141443855e-08 -0.05 0.4
0.0020164024696297284 2.8703904968129126e-07 -0.15 0.4
0.0017422206993750568 8.832119642792308e-08 -0.1 0.4
0.002238289991625176 2.0877350965930084e-06 -0.25 0.4
0.002135492578353274 7.629344990644722e-07 -0.2 0.4
0.002518089730164101 1.0765796054859827e-05 -0.35 0.4
0.0023612388221290175 5.353519946912078e-06 -0.3 0.4
0.0031363469595684563 9.858638360080438e-06 -0.45 0.4
0.0027429915486350594 1.657781830111239e-05 -0.4 0.4
0.0036743878902832034 4.95396991341216e-06 -0.55 0.4
0.003495104366187224 5.654380819804256e-06 -0.5 0.4
0.003630167495228672 2.50035000472481e-05 -0.65 0.4
0.003703278596779378 1.5141126103041422e-05 -0.6 0.4
0.003318927915619259 2.1979345352471624e-05 -0.75 0.4
0.003483704516220703 2.982083036274451e-05 -0.7 0.4
0.002976698681544645 3.990228142523063e-05 -0.85 0.4
0.003074529369291778 3.1232771558508166e-05 -0.8 0.4
0.002442772675290458 3.566109656769503e-05 -0.95 0.4
0.002556455676304508 3.952851465383798e-05 -0.9 0.4
0.0020433901994008274 3.9435824734222116e-05 -1.05 0.4
0.002354015378185206 2.370918829116539e-05 -1.0 0.4
0.001396154239184667 4.364089177545048e-05 -1.15 0.4
0.0016925306530993773 4.5717140551246256e-05 -1.1 0.4
0.0008489400258609798 6.361100120234786e-05 -1.25 0.4
0.0007814322764877467 4.787343363708134e-05 -1.2 0.4
0.0009621999285022259 7.33321694488968e-05 -1.35 0.4
0.0009129047806279073 8.459494290501474e-05 -1.3 0.4
0.0009278092701527482 8.840177838233683e-05 -1.45 0.4
0.0011463098403339505 9.664137466149624e-05 -1.4 0.4
0.0 0.0 -1.55 0.4
0.00022191661051188457 3.548762700188983e-05 -1.5 0.4
9.757053986595189e-05 4.313041260616354e-05 -1.65 0.4
0.0 0.0 -1.6 0.4
0.00016990121136123618 7.217983543067527e-05 -1.75 0.4
0.0 0.0 -1.7 0.4
0.0 0.0 -1.85 0.4
0.00011873099839590216 6.743030284534205e-05 -1.8 0.4
0.0 0.0 -1.95 0.4
0.0 0.0 -1.9 0.4
0.0 0.0 -2.0 0.4
0.0 0.0 0.0 0.4
