slope error QPH QPV
0.00248909729988782 1.142397944190558e-07 -0.05 0.4
0.0042851675530076894 3.317728625853786e-07 -0.15 0.4
0.003491103282185063 1.6834563339994094e-07 -0.1 0.4
0.005567481979435234 6.536943003078487e-07 -0.25 0.4
0.0049496098156588085 3.9661315869623305e-07 -0.2 0.4
0.006805438546358683 9.843671987754045e-07 -0.35 0.4
0.006181378946675883 7.681670768409275e-07 -0.3 0.4
0.007542904648484225 9.783779457962569e-07 -0.45 0.4
0.007267897582834174 1.6420025300766412e-06 -0.4 0.4
0.007423641159464379 2.8335080236195555e-06 -0.55 0.4
0.007596354382215748 1.9688336715867854e-06 -0.5 0.4
0.0066385684667184435 3.3393690106835422e-06 -0.65 0.4
0.007070332683709745 4.774418080748066e-06 -0.6 0.4
0.00553259439996392 1.7955920614715332e-06 -0.75 0.4
0.0060949931908467776 3.5589727607310737e-06 -0.7 0.4
0.004323226941734087 1.8734918440738606e-06 -0.85 0.4
0.004933694974050077 3.0591199802140657e-06 -0.8 0.4
0.0032733717595724234 2.066832282290181e-06 -0.95 0.4
0.003805085779686782 1.5725809072800294e-06 -0.9 0.4
0.0024100203349001143 4.533726113723722e-06 -1.05 0.4
0.0028700460362739637 2.4167692573021875e-06 -1.0 0.4
0.0025860834945489433 0.00015907394823319476 -1.15 0.4
0.002391851696696411 9.25113149416657e-05 -1.1 0.4
0.0031797425285291564 0.00020061096763471174 -1.25 0.4
0.0028829911984794066 0.0001971860632397802 -1.2 0.4
0.0035226881502316673 0.000235276938585099 -1.35 0.4
0.003452860853681625 0.00019395402837149426 -1.3 0.4
0.003625334003568064 0.00019269441330406503 -1.45 0.4
0.003709223464521953 0.00020818397447521303 -1.4 0.4
0.003969363053891524 0.00026146200458260487 -1.55 0.4
0.0038120138455800443 0.0002685747372814377 -1.5 0.4
0.002540696007535198 0.00023402746619582488 -1.65 0.4
0.003639445382831423 0.00023317457171980106 -1.6 0.4
0.0017836308870172908 0.00015547087356936038 -1.75 0.4
0.002020398435895125 8.369543925323417e-05 -1.7 0.4
0.002265718179248032 0.00017658652718176735 -1.85 0.4
0.00241507334038954 0.00019117568760796384 -1.8 0.4
0.0012154298936562372 0.0001285064407619673 -1.95 0.4
0.001576936822750576 0.00012792741014327984 -1.9 0.4
0.0019464647940240537 0.0001563050641327438 -2.0 0.4
0.0010495369495957653 1.1323672144396242e-07 0.0 0.4
