slope error QPH QPV
0.000627069673338142 5.1044378433151584e-05 0.1 -0.05
0.00226553807869486 3.428777014983184e-07 0.1 -0.15
0.0010053664099576776 5.542595737766186e-07 0.1 -0.1
0.003678630028741521 1.771979601263525e-06 0.1 -0.25
0.003148715898075262 8.816523896996698e-07 0.1 -0.2
0.004348415695811825 1.4297220926156745e-05 0.1 -0.35
0.004040061307708598 4.2474735895353005e-06 0.1 -0.3
0.004882196106198684 3.3127512284807677e-05 0.1 -0.45
0.004611716016169584 6.284608762165761e-05 0.1 -0.4
0.005618190872041262 1.1116350486468954e-05 0.1 -0.55
0.005193409271585452 1.4387564039193127e-05 0.1 -0.5
0.006692227716575376 0.00010136548554604328 0.1 -0.65
0.006135413484875427 1.4103765751451698e-05 0.1 -0.6
0.007053810245634738 0.0001263185110370848 0.1 -0.75
0.007050142077622905 0.00010648303321977825 0.1 -0.7
0.00044244768997123217 9.295865912998428e-05 0.1 0.0
0.005608724361536455 0.00010141031399448747 0.1 -0.85
0.006473701756398361 0.0001414495191598331 0.1 -0.8
0.004616766403935746 9.152295053548285e-05 0.1 -0.95
0.0050115600136775495 0.00013441906879438137 0.1 -0.9
0.003969375286239679 9.673987829161135e-05 0.1 -1.05
0.00423741367875385 7.81541645543866e-05 0.1 -1.0
0.004007218845869618 7.493081392340046e-05 0.1 -1.15
0.0037812020736295937 7.851258343920097e-05 0.1 -1.1
0.0040756562130917036 7.507537421292388e-05 0.1 -1.25
0.003975237229620281 7.73968659022658e-05 0.1 -1.2
0.0043536889312817935 8.999708458733555e-05 0.1 -1.35
0.004298094636867313 8.769708247184566e-05 0.1 -1.3
0.003558790723006116 6.730770229202516e-05 0.1 -1.45
0.004144065467077306 7.257636307260264e-05 0.1 -1.4
0.0031047946733014494 8.022318959278546e-05 0.1 -1.55
0.003457034785067871 9.042371080736778e-05 0.1 -1.5
0.0024565987362010254 0.00010481682282080548 0.1 -1.65
0.0029034892548906004 6.703948784512761e-05 0.1 -1.6
0.0003180893831807731 0.0001610684066276315 0.1 -1.75
0.0012752783831428065 0.00012713801196344914 0.1 -1.7
0.0 0.0 0.1 -1.85
0.0 0.0 0.1 -1.8
0.0000026216620442674 0.00019984729487355915 0.1 -1.95
0.0000016374537902859 0.0001479701296600287 0.1 -1.9
0.0000053598853738564 0.00028634763473152114 0.1 -2.0
