,Unnamed: 0,time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod,current_start,current_end,current_mapping,QPV_error
0,0,2022.08.30.09.56.01.038940,0.05,0.1,38.111448437959055,193.65474779928107,0.0003637277064013,2.961443,8.746746578983267e-05,229630,1661846160444000000,-6.183431625366211,-6.210897922515869,-6.183431625366211,0.006488903384036071
1,1,2022.08.30.10.12.23.868699,0.05,0.0,19.58930565076878,41.69677075397168,0.0019705295185966,2.9900236,0.0008325393718704,229629,1661847143244000000,-5.743965148925781,-5.757698059082031,-5.743965148925781,0.0032443953657095292
2,2,2022.08.30.10.12.49.136179,0.05,0.0,9.679757124669475,44.94856537582456,0.0015001899364879,2.5078013,0.003247759479324,229630,1661847168444000000,-5.77143144607544,-5.730231761932373,-5.77143144607544,-0.009733411402362835
3,3,2022.08.30.10.12.49.136179,0.05,0.0,9.14386445989619,44.94856537582456,0.001557398084654,2.5078013,0.002462663253013,229630,1661847168444000000,-5.77143144607544,-5.730231761932373,-5.77143144607544,-0.009733411402362835
4,4,2022.08.30.10.12.49.136179,0.05,0.0,9.50112623641171,44.94856537582456,0.0014944708548219,2.5078013,0.0011355926360986,229630,1661847168444000000,-5.77143144607544,-5.730231761932373,-5.77143144607544,-0.009733411402362835
5,5,2022.08.30.10.12.49.136179,0.05,0.0,8.586237238376714,44.94856537582456,0.0014607896841858,2.5078013,0.0011268986411813,229630,1661847168444000000,-5.757698059082031,-5.730231761932373,-5.757698059082031,-0.006488903384036071
6,6,2022.08.30.10.12.49.136179,0.05,0.0,10.215649789442756,44.94856537582456,0.0015495005677159,2.9085386,0.003244008111035,229630,1661847168444000000,-5.757698059082031,-5.730231761932373,-5.757698059082031,-0.006488903384036071
7,7,2022.08.30.10.12.49.136179,0.05,0.0,9.921315185990403,44.94856537582456,0.0014687683129333,2.5078013,0.0098925042631339,229630,1661847168444000000,-5.77143144607544,-5.730231761932373,-5.77143144607544,-0.009733411402362835
8,8,2022.08.30.10.12.49.136179,0.05,0.0,16.78292037998237,44.94856537582456,0.0017192708527287,2.9535377,0.0009828527059064,229630,1661847168444000000,-5.757698059082031,-5.730231761932373,-5.757698059082031,-0.006488903384036071
9,9,2022.08.30.10.13.14.247953,0.05,0.0,16.221643325825085,45.45593758632642,0.0015743166529166,2.900633,0.001121455754038,229630,1661847193644000000,-5.743965148925781,-5.743965148925781,-5.743965148925781,0.0
10,10,2022.08.30.10.14.04.674573,0.05,0.0,19.58930565076878,40.866525318604985,0.0018932597817458,3.0027938,0.0007769917514628,229629,1661847244044000000,-5.730231761932373,-5.77143144607544,-5.730231761932373,0.009733411402362835
11,11,2022.08.30.10.14.29.880200,0.05,0.0,18.46675154245422,46.1939335288746,0.0017802943535482,2.8951604,0.0008765872503714,229630,1661847269244000000,-5.757698059082031,-5.77143144607544,-5.757698059082031,0.003244508018326764
12,12,2022.08.30.10.25.50.241910,0.05,-0.1,16.62273781902553,32.287322486482495,0.0025516151133696,,0.0039756965364999,229630,1661847949644000000,-5.33196496963501,-5.318231582641602,-5.33196496963501,-0.003244508018326542
13,13,2022.08.30.11.08.15.448418,0.05,-0.3,16.44642052688277,26.2911054532786,0.0049546769850704,2.9140112,0.0089709863640309,229629,1661850494844000000,-4.411831855773926,-4.411831855773926,-4.411831855773926,0.0
14,14,2022.08.30.11.09.05.867270,0.05,-0.3,18.95947507589853,27.098288515440665,0.0043449614711385,3.0599551,0.0153159081673299,229633,1661850545244000000,-4.878765106201172,-4.865031719207764,-4.878765106201172,-0.003244508018326542
15,15,2022.08.30.11.09.31.103820,0.05,-0.2,14.21259426109097,25.66842137675358,0.0039711172668392,2.910971,0.0082522304666317,229630,1661850570444000000,-4.906231880187988,-4.865031719207764,-4.906231880187988,-0.009733524054979625
16,16,2022.08.30.11.09.56.366655,0.05,-0.2,13.654137694643026,25.87598273559525,0.0039302681902566,2.900633,0.0070518907112219,229630,1661850595644000000,-4.89249849319458,-4.865031719207764,-4.89249849319458,-0.006489016036653084
17,17,2022.08.30.11.10.21.513027,0.05,-0.2,13.374909411419054,26.890727156598988,0.0037933203102131,2.8434718,0.006708127160671,229631,1661850620844000000,-4.878765106201172,-4.89249849319458,-4.878765106201172,0.003244508018326542
18,18,2022.08.30.11.10.46.684285,0.05,-0.2,13.374909411419054,25.137986793047084,0.004073389646157,2.9851592,0.0069105616280081,229635,1661850646044000000,-4.878765106201172,-4.865031719207764,-4.878765106201172,-0.003244508018326542
19,19,2022.08.30.11.11.11.864765,0.05,-0.2,15.050279110762894,25.945169855209144,0.0038592252832957,2.9079304,0.009000138657878,229630,1661850671244000000,-4.865031719207764,-4.878765106201172,-4.865031719207764,0.003244508018326542
20,20,2022.08.30.11.12.27.441800,0.05,-0.3,15.329507393986866,26.406417319301752,0.0051863533000765,3.027726,0.0081335292529467,229630,1661850746844000000,-4.439298629760742,-4.439298629760742,-4.439298629760742,0.0
21,21,2022.08.30.11.12.52.676288,0.05,-0.3,17.284105376554685,26.890727156598988,0.0052535461937232,3.027726,0.0108700081317725,229630,1661850772044000000,-4.398098468780518,-4.439298629760742,-4.398098468780518,0.009733524054979625
22,22,2022.08.30.11.22.32.239127,0.05,-0.4,17.563333659778664,26.77541529057584,0.0054212595296544,3.0113072,0.0174708514429548,229630,1661851351644000000,-3.972365379333496,-3.999832153320313,-3.972365379333496,0.006489016036653195
