time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod

2022.09.06.09.08.22.222872,0.05,0.05,430.73524630300653,662.0976723317327,0.0001822218195922908,0.81181246,8.805047533137245e-06,229635,1662448102044000000
2022.09.06.09.08.58.162534,0.05,0.05,285.4406424444227,535.3699315722889,0.00022320749200942287,0.9048517,1.7802790131746716e-05,229630,1662448138044000000
2022.09.06.09.09.34.157139,0.05,0.05,276.9932817549701,457.07317454256895,0.00024644740516454174,0.8361364,1.2575604083378953e-05,229630,1662448174044000000
2022.09.06.09.10.46.163480,0.05,0.05,2307.7387914993633,2471.940471938304,0.000236235913696033,0.8306635,1.0915677341381852e-05,229629,1662448246044000000
2022.09.06.09.11.58.162040,0.05,0.05,366.53530506316713,561.1767271882703,0.00016725150866331724,0.74917823,1.766687260244166e-05,229634,1662448318044000000
2022.09.06.09.12.16.256086,0.05,0.05,442.56155126824,612.3521333293451,0.00017791384965289598,0.78505605,1.5589071087131498e-05,229629,1662448336044000000
2022.09.06.09.12.34.164036,0.05,0.05,255.03014396239345,419.3661943529983,0.00021005219027316088,0.8811357,1.695241751904758e-05,229630,1662448354044000000
2022.09.06.09.12.52.165860,0.05,0.05,445.94049554402113,703.0795095163609,0.00012165492333346058,0.80633956,1.0492252535769908e-05,229630,1662448372044000000
2022.09.06.09.13.10.163551,0.05,0.05,315.85114092645176,537.1687966822501,0.00015926158667774792,0.8002586,1.3048400811424037e-05,229630,1662448390044000000
2022.09.06.09.13.28.161731,0.05,0.05,366.53530506316713,586.4992129669545,0.00016656342205401584,0.8501227,1.6579114379343573e-05,229630,1662448408044000000
2022.09.06.09.13.46.167831,0.05,0.12,383.4300264420722,604.7184877986124,0.00015374682619912869,0.7978262,1.0794988292127668e-05,229630,1662448426044000000
2022.09.06.09.14.40.175297,0.05,0.1,934.1979433943784,1616.1419270608812,5.424278789376919e-05,0.88721675,3.966373515070032e-06,229630,1662448480044000000
2022.09.06.09.14.58.338392,0.05,0.1,905.4769170502398,1492.4584195644486,6.667398724066676e-05,0.8136367,5.229381973287549e-06,229630,1662448498044000000
2022.09.06.09.15.16.163039,0.05,0.1,1152.1398491822542,1859.2654653840943,5.172499193550217e-05,0.8245825,3.626680706036772e-06,229629,1662448516044000000
2022.09.06.09.15.34.163310,0.05,0.1,792.2822838115756,1377.008179302069,6.379974309949638e-05,0.8367445,5.103815897402281e-06,229630,1662448534044000000
2022.09.06.09.15.52.164927,0.05,0.1,981.5031632553128,1742.7312935810971,5.417623293320906e-05,0.81850153,3.5199410778548733e-06,229630,1662448552044000000
2022.09.06.09.16.46.157234,0.05,0.1,893.6506120850063,1651.0583600926914,5.1821753340299956e-05,0.80086666,4.359625861167263e-06,229634,1662448606044000000
2022.09.06.09.17.40.165385,0.05,0.1,988.2610518068748,1788.786852870744,5.2855221695891626e-05,0.8391769,4.266394203756072e-06,229630,1662448660044000000
2022.09.06.09.17.58.169485,0.05,0.0,668.9508177455684,1552.4205898964874,5.266896163387313e-05,0.7759346,4.1024622005392815e-06,229629,1662448678044000000
2022.09.06.09.30.51.014313,0.05,0.0,67.49873665654681,310.327293841506,0.0002867825445031873,0.8452579,8.954623470797309e-06,229629,1662449450844000000
2022.09.06.09.31.31.767377,0.05,0.0,119.87237293115263,345.22066450011175,0.00024151429454592532,0.7911371,1.4503933590041957e-05,229629,1662449491644000000
