,Unnamed: 0,time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod,current_start,current_end,current_mapping,QPV_error
0,0,2022.08.30.09.53.55.122668,0.05,0.1,37.42873371853887,157.4698426805286,0.0004600993393732,2.9237409,0.000105228148437,229630,1661846034444000000,-6.183431625366211,-6.197165012359619,-6.183431625366211,0.0032199936273102914
1,1,2022.08.30.09.53.55.122668,0.05,0.1,39.23102536480269,157.4698426805286,0.0004609939191413,2.9237409,0.0001083056945176,229630,1661846034444000000,-6.183431625366211,-6.197165012359619,-6.183431625366211,0.0032199936273102914
2,2,2022.08.30.09.54.20.284962,0.05,0.1,42.83560865733034,155.83241461516286,0.0004516947886879,3.0234692,0.0001245750964859,229630,1661846059644000000,-6.224631309509277,-6.210897922515869,-6.224631309509277,-0.0032199936273102914
3,3,2022.08.30.09.54.45.522662,0.05,0.1,42.83560865733034,174.62824381619257,0.0004222791890894,3.0234692,0.0001022050224487,229630,1661846084844000000,-6.224631309509277,-6.197165012359619,-6.224631309509277,-0.0064398754531682645
4,4,2022.08.30.09.55.10.639370,0.05,0.1,41.03331701106652,188.5118385746485,0.0003868356391182,3.0301583,9.801385931971696e-05,229629,1661846110044000000,-6.183431625366211,-6.197165012359619,-6.183431625366211,0.0032199936273102914
5,5,2022.08.30.09.55.35.845458,0.05,0.1,46.44019194985799,155.2328340403669,0.000465330405699,3.0259016,0.0001260673452613,229629,1661846135244000000,-6.197165012359619,-6.197165012359619,-6.197165012359619,0.0
6,6,2022.08.30.09.56.26.391602,0.05,0.1,44.637900303594165,163.85816161889863,0.0004331143456218,2.9650917,0.0001189670269881,229635,1661846185644000000,-6.224631309509277,-6.183431625366211,-6.224631309509277,-0.009659869080478556
7,7,2022.08.30.09.56.51.434652,0.05,0.1,46.44019194985799,172.4604419966008,0.0004060670666541,2.9492812,0.0001068562907435,229633,1661846210844000000,-6.183431625366211,-6.210897922515869,-6.183431625366211,0.0064398754531682645
8,8,2022.08.30.09.57.16.640251,0.05,0.1,50.0447752423857,178.24909818022564,0.0003982070942877,2.8714445,0.0001008866288204,229630,1661846236044000000,-6.210897922515869,-6.224631309509277,-6.210897922515869,0.0032199936273102914
9,9,2022.08.30.09.57.41.897452,0.05,0.1,55.45165018117717,192.77839457737176,0.0003833446310804,2.8890793,9.381737318339964e-05,229631,1661846261244000000,-6.197165012359619,-6.210897922515869,-6.197165012359619,0.003219881825857973
10,10,2022.08.30.09.58.07.147496,0.05,0.1,46.44019194985799,170.47707772651418,0.0004306893086619,2.9754295,0.0001151081128766,229631,1661846286444000000,-6.1559648513793945,-6.183431625366211,-6.1559648513793945,0.006439987254620361
11,11,2022.08.30.09.58.32.253624,0.05,0.1,46.44019194985799,181.0627557462406,0.0004000037484374,2.9754295,9.619201812407336e-05,229629,1661846311644000000,-6.1559648513793945,-6.1559648513793945,-6.1559648513793945,0.0
