time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod
2022.08.30.11.42.16.641831,0.05,-0.55,58.33066301047887,71.51641930755872,0.004746441958255704,2.9000251,0.0041100989322148,229630,1661852536044000000
2022.08.30.11.42.41.843797,0.05,-0.55,58.33066301047887,68.77199689620771,0.004322172583610037,3.0167801,0.014110193639084292,229637,1661852561244000000
2022.08.30.11.43.07.000166,0.05,-0.55,58.0514347272549,66.11982397767521,0.004269564414569693,3.0094829,0.016494462119435137,229630,1661852586444000000
2022.08.30.11.43.57.418424,0.05,-0.55,56.93452159435901,67.22681789149748,0.0039278608502841465,2.9085386,0.00573134197629661,229632,1661852636844000000
2022.08.30.11.44.22.640689,0.05,-0.55,64.19445695818233,66.51188432215393,0.037342305190691888,2.824621,0.09202080406523284,229630,1661852662044000000
2022.08.30.11.45.13.275158,0.05,-0.55,55.81760846146311,65.68163888678724,0.0035087561324824066,2.9906318,0.007531681270363746,229631,1661852712444000000
2022.08.30.11.45.38.268748,0.05,-0.55,55.259151895015165,63.51377580555199,0.004836271532215209,3.0070505,0.015325240879381518,229630,1661852737644000000
2022.08.30.11.46.28.697603,0.05,-0.55,54.97992361179119,64.25177174810015,0.004603013885825056,2.9736052,0.007336154895323807,229631,1661852788044000000
2022.08.30.11.48.34.731021,0.05,-0.55,56.09683674468708,66.00451211165206,0.004658598810414004,3.015564,0.006597967301015768,229633,1661852914044000000
2022.08.30.11.49.50.266282,0.05,-0.55,55.259151895015165,64.62076971937424,0.0040142189594347695,nan,0.005930825680248774,229631,1661852989644000000
2022.08.30.12.07.28.635019,0.05,-0.6,1079.7249241014592,1111.4218894775458,0.003981809916406158,2.910971,0.001666093602897475,229630,1661854048044000000
2022.08.30.12.07.53.875844,0.05,-0.6,1065.0950543531485,1085.1999711438812,0.0035154481177567497,2.8945522,0.004195122774412792,229630,1661854073244000000
2022.08.30.12.08.19.069377,0.05,-0.6,1059.468181373029,1086.4914640433406,0.003973802481842756,2.9219167,0.0017018422789711626,229630,1661854098444000000
2022.08.30.12.08.44.208686,0.05,-0.6,1069.596552737244,1095.762538071602,0.0039822077437484974,2.9839427,0.002499183801498587,229630,1661854123644000000
2022.08.30.12.08.19.069377,0.05,-0.6,1066.2795024973068,1086.4914640433406,0.003715692055039198,2.8665798,0.0027553274948888995,229630,1661854098444000000
2022.08.30.12.08.44.208686,0.05,-0.6,1074.740965625306,1095.762538071602,0.0037675681368018873,2.991848,0.003592963691210167,229630,1661854123644000000
2022.08.30.12.09.09.461905,0.05,-0.7,1062.3308197042404,1082.6169853449626,0.0035100919611115024,2.8909035,0.003629059151140165,229630,1661854148844000000
2022.08.30.12.09.34.664308,0.05,-0.7,1060.9205758495739,1080.4260598905228,0.0032635703885160816,2.9152277,0.0016771361378671867,229630,1661854174044000000
2022.08.30.12.09.59.860801,0.05,-0.7,1065.433356184507,1085.4305948759275,0.002987545094424046,2.95597,0.0030867933957574385,229629,1661854199244000000
2022.08.30.12.10.25.046965,0.05,-0.7,1071.074331603173,1085.9149047132248,0.002719747075032586,2.9401596,0.0037429610143184786,229635,1661854224444000000
2022.08.30.12.10.50.264995,0.05,-0.7,1063.741063558907,1083.0551704358506,0.0032136479687326497,nan,0.0015885741347999743,229630,1661854249644000000
2022.08.30.12.11.15.454581,0.05,-0.8,1066.2795024973068,1083.585605019557,0.002408018169539821,2.9346867,0.0024463661674849423,229630,1661854274844000000
2022.08.30.12.11.40.651666,0.05,-0.8,1072.4845754578396,1087.5062084643441,0.002459467872898892,2.961443,0.004764213034895192,229630,1661854300044000000
2022.08.30.12.12.05.846913,0.05,-0.8,1062.894917246107,1080.218498531681,0.0029098790833621893,3.11286,0.0035204636011076256,229631,1661854325244000000
2022.08.30.12.12.31.060729,0.05,-0.8,1067.9717951229065,1085.776530473997,0.003022733270985937,2.9267814,0.0023939920096086877,229630,1661854350444000000
2022.08.30.12.12.56.279254,0.05,-0.9,1069.382038977573,1087.021898627047,0.002750567140993506,3.0368474,0.0019644235719746854,229632,1661854375644000000
2022.08.30.12.13.21.516847,0.05,-0.9,1071.920477915973,1089.9046952776257,0.002822702163060543,2.9590106,0.0013543602017186554,229630,1661854400844000000
2022.08.30.12.13.46.665310,0.05,-0.9,1084.6126726079717,1102.5198134205586,0.002638098579297161,2.9462407,0.0011190578016505811,229629,1661854426044000000
2022.08.30.12.14.37.001620,0.05,-0.9,1071.074331603173,1091.9572464928378,0.0030525053320306812,3.0149558,0.0008149819916255362,229629,1661854476444000000
2022.08.30.12.15.27.397217,0.05,-0.9,1061.766722162374,1081.3254924455032,0.00300581051808148,3.0484014,0.0009470098449942511,229633,1661854526844000000
2022.08.30.12.15.52.647127,0.05,-0.9,1078.1255508765057,1100.2827632197095,0.0026040346696529866,2.9438083,0.001525202191013106,229631,1661854552044000000
2022.08.30.12.16.43.014635,0.05,-1.0,1075.8691607090393,1090.089194263263,0.0037822741309923857,2.8623228,0.003872419062308673,229629,1661854602444000000
2022.08.30.12.17.08.216618,0.05,-1.0,1072.2025266869061,1083.3780436607153,0.004085537342369034,3.0952249,0.0033578091510958127,229630,1661854627644000000
2022.08.30.12.17.33.436500,0.05,-1.0,1078.9716971893056,1093.4563007511388,0.0035823144939062202,2.961443,0.004969118940417906,229630,1661854652844000000
2022.08.30.12.17.58.627445,0.05,-1.0,1078.6896484183724,1092.7874919282046,0.003641726786233521,3.0204287,0.004773032155493265,229632,1661854678044000000
2022.08.30.12.18.23.879796,0.05,-1.0,1070.7922828322396,1086.7220877753869,0.003959945159001942,2.9000251,0.002567626605785271,229629,1661854703244000000
2022.08.30.12.18.49.047510,0.05,-1.1,1070.5102340613064,1081.4177419383218,0.0035989528066214197,3.0818467,0.0038786129969466264,229630,1661854728444000000
2022.08.30.12.19.14.284347,0.05,-1.1,1080.3819410439721,1088.705451870985,0.00526983273908825,2.7978644,0.01679620516440356,229635,1661854753644000000
2022.08.30.12.19.39.450129,0.05,-1.1,1083.7665262951718,1092.5568681961583,0.003897569511631881,2.9742131,0.02122950209179082,229631,1661854778844000000
2022.08.30.12.20.04.650791,0.05,-1.1,1072.7666242287728,1083.3549812875108,0.00552958729769106,2.9279978,0.011779048239444983,229630,1661854804044000000
2022.08.30.12.20.29.873002,0.05,-1.2,1071.6384291450397,1082.0865507612561,0.006451338674321687,2.936511,0.007773236494075974,229629,1661854829244000000
2022.08.30.12.20.55.042647,0.05,-1.2,1074.1768680834393,1082.8937338234182,0.006669082753409354,2.9389434,0.007833124329172384,229629,1661854854444000000
2022.08.30.12.21.45.459869,0.05,-1.2,1076.7153070218392,1087.390896598321,0.006002219102366359,2.89212,0.007231741671365141,229634,1661854904844000000
2022.08.30.12.22.10.646502,0.05,-1.2,1071.3563803741063,1079.088442244654,0.0074516549530184596,2.8671877,0.012310817553608983,229633,1661854930044000000
2022.08.30.12.22.35.810124,0.05,-1.3,1071.3563803741063,1085.6612186079738,0.004255113982358087,2.814891,0.002389618293162253,229630,1661854955244000000
2022.08.30.12.23.01.031067,0.05,-1.3,1069.9461365194397,1084.2082890960821,0.005242029055203511,3.010091,0.002982140310836989,229632,1661854980444000000
2022.08.30.12.23.26.261568,0.05,-1.4,1092.5100381941043,1123.4835106635676,0.0015667935481943442,2.8489447,0.0011825177535916556,229631,1661855005644000000
2022.08.30.12.23.51.460334,0.05,-1.4,1075.3050631671726,1094.3096085597101,0.002412919636282874,2.9103627,0.0008730276436601097,229631,1661855030844000000
2022.08.30.12.24.16.663881,0.05,-1.4,1068.8179414357066,1087.7829569427997,0.0028959918898541505,2.9468489,0.0024966533277915835,229630,1661855056044000000
2022.08.30.12.24.41.847675,0.05,-1.4,1065.433356184507,1086.1685908184756,0.003141450376710036,2.935903,0.002238056036039578,229637,1661855081244000000
2022.08.30.12.25.07.007573,0.05,-1.5,1134.535305063167,1186.9972864691194,0.0008345176293922346,2.5667868,0.0005337854981476424,229631,1661855106444000000
2022.08.30.12.25.32.273067,0.05,-1.5,1089.6895504847712,1167.9016414556856,0.00082401536868772464,2.69692,0.0004503283473498212,229631,1661855131644000000
2022.08.30.12.25.57.477601,0.05,-1.5,1091.0997943394377,1148.2524994853406,0.0011336764461053147,2.8763094,0.00027620362522535487,229631,1661855156844000000
2022.08.30.12.26.22.649318,0.05,-1.5,1067.6897463519733,1112.9901308554608,0.0010015232774823924,2.8951604,0.000660946609866511,229636,1661855182044000000
2022.08.30.12.26.47.857453,0.05,-1.5,1109.1509156791694,1180.2400111201628,0.0008442097683641224,2.6975281,0.0007603795696253931,229631,1661855207244000000
2022.08.30.12.27.13.054395,0.05,-1.5,1061.2026246205073,1108.0317206164652,0.0014225771183888943,3.041712,0.0005273670203372111,229631,1661855232444000000
2022.08.30.12.27.38.254608,0.05,-1.5,1063.4590147879737,1129.9870999072734,0.0010412711404813749,2.89212,0.0004127585094552258,229630,1661855257644000000
2022.08.30.12.28.03.492837,0.05,-1.5,1064.8692586426403,1127.0581785102852,0.0008047810887892417,2.9389434,0.0009934114531852118,229632,1661855282844000000
2022.08.30.12.28.28.677147,0.05,-1.5,1083.7665262951718,1179.8248884024795,0.0008034195011762093,2.8635392,0.0005520869328818514,229635,1661855308044000000
2022.08.30.12.29.19.036003,0.05,-1.5,1051.3309176378416,1108.7697165590134,0.0014991107287739486,2.941984,0.0006946202281239313,229630,1661855358444000000
2022.08.30.12.29.44.248156,0.05,-1.5,1065.1513074135735,1140.2498559833339,0.0007845928319870522,2.9438083,0.0008333723367181824,229630,1661855383644000000
2022.08.30.12.30.09.456122,0.05,-1.6,1106.3304279698364,1219.9303554053317,0.0005019563235671909,2.6884065,0.00036283674563885557,229629,1661855408844000000
2022.08.30.12.35.11.897324,0.05,-1.6,1114.7918910978356,1259.6206996905005,0.00032917397926502317,2.6221237,0.00025818191577570355,229632,166185571124400000
2022.08.30.12.44.26.257382,0.05,-0.8,1065.9935363823329,1090.089194263263,0.002828220605731298,2.9377272,0.0017121693061333582,229630,1661856265644000000
2022.08.30.12.44.51.625532,0.05,-0.8,1057.5320732543337,1080.0570619192486,0.0033654722906982628,2.9207006,0.002464693011537304,229630,1661856290844000000
2022.08.30.12.45.16.662487,0.05,-0.8,1063.455097443933,1086.2608403112943,0.0028258319598367812,2.9310381,0.0015137204560550172,229630,1661856316044000000
2022.08.30.12.45.41.797412,0.05,-0.8,1060.0705121927333,1081.717552789982,0.003430941898433795,2.960227,0.0024136771471245434,229630,1661856341244000000
2022.08.30.12.46.07.165919,0.05,-0.5,1064.301243756733,1083.7239792587848,0.004911647981322775,2.9717808,0.0029812461153591475,229630,1661856366444000000
2022.08.30.12.46.32.243041,0.05,-0.55,1060.9166585055332,1083.0782328090552,0.0041396148916246,3.0569146,0.003105301490787002,229630,1661856391644000000
2022.08.30.12.46.57.443390,0.05,-0.55,1063.455097443933,1085.6612186079738,0.0038367593710393324,2.9146194,0.003554734340661191,229629,1661856416844000000
2022.08.30.12.47.22.734070,0.05,-0.55,1060.9166585055332,1084.2544138424914,0.003963818862136308,3.0861034,0.0034440051096990476,229630,1661856442044000000
2022.08.30.12.47.47.832313,0.05,-0.55,1059.2243658799334,1082.1326755076655,0.004211095919167656,3.10313,0.0033753186166260037,229629,1661856467244000000
2022.08.30.12.48.13.038649,0.05,-0.55,1062.6089511311332,1083.5394802731478,0.003695776759544955,3.041712,0.004765386513788954,229631,1661856492444000000
2022.08.30.12.48.38.349458,0.05,-0.55,1059.2243658799334,1084.0699148568542,0.0040943455822708506,3.0313745,0.0013102625595479895,229630,1661856517644000000
2022.08.30.12.49.03.434327,0.05,-0.55,1069.3781216335326,1088.774638990599,0.0039023513600666663,3.010699,0.003730431715840086,229630,1661856542844000000
2022.08.30.12.49.28.604824,0.05,-0.55,1054.9936343159338,1079.226816483882,0.003919476676645503,2.9742131,0.0029908473405426935,229629,1661856568044000000
2022.08.30.12.49.53.949639,0.05,-0.55,1062.6089511311332,1089.0052627226453,0.003926847946415313,3.0490093,0.002410699535870641,229635,1661856593244000000
2022.08.30.12.50.19.028708,0.05,-0.55,1057.5320732543337,1080.3338103977042,0.0037252687071257927,3.0307665,0.004901011131014164,229629,1661856618444000000
2022.08.30.12.50.44.237164,0.05,-0.55,1059.2243658799334,1084.2082890960821,0.004084787741475111,3.0629957,0.0026594496638093434,229630,1661856643644000000
2022.08.30.12.51.09.615543,0.05,-0.55,1065.147390069533,1085.6150938615644,0.004137745101448771,3.045969,0.0016517597051052713,229630,1661856668844000000
2022.08.30.12.51.34.686706,0.05,-0.55,1059.2243658799334,1082.6169853449626,0.0039881501554885155,2.9754295,0.002319881123063055,229632,1661856694044000000
2022.08.30.12.51.59.881134,0.05,-0.55,1063.455097443933,1084.092977230059,0.0039545047373349694,2.9894156,0.0037010812428845707,229629,1661856719244000000
2022.08.30.12.52.25.210596,0.05,-0.55,1063.455097443933,1084.0237901104451,0.004110792394666077,3.0198207,0.002758776624003363,229629,1661856744444000000
2022.08.30.10.12.49.136179,0.05,0.0,8.586237238376714,44.94856537582456,0.0014607896841858012,2.5078013,0.0011268986411813822,229630,1661847168444000000
2022.08.30.10.12.49.136179,0.05,0.0,9.50112623641171,44.94856537582456,0.0014944708548219172,2.5078013,0.0011355926360986082,229630,1661847168444000000
2022.08.30.10.12.49.136179,0.05,0.0,9.14386445989619,44.94856537582456,0.0015573980846540585,2.5078013,0.002462663253013092,229630,1661847168444000000
2022.08.30.10.12.49.136179,0.05,0.0,9.679757124669475,44.94856537582456,0.0015001899364879287,2.5078013,0.003247759479324062,229630,1661847168444000000
2022.08.30.10.12.49.136179,0.05,0.0,10.215649789442757,44.94856537582456,0.0015495005677159913,2.9085386,0.0032440081110350905,229630,1661847168444000000
2022.08.30.10.12.49.136179,0.05,0.0,9.921315185990405,44.94856537582456,0.0014687683129333085,2.5078013,0.00989250426313395,229630,1661847168444000000
