slope error QPH QPV
0.0008004932629791983 1.9517023965102763e-07 0.1 -0.05
0.0030928165335419215 2.3704213411243348e-07 0.1 -0.15
0.0022190798889039245 7.078554237451812e-08 0.1 -0.1
0.003953626849463674 1.8863404075563194e-06 0.1 -0.25
0.003601396765084899 6.659906816254445e-07 0.1 -0.2
0.004474384259381463 1.4659979289314895e-05 0.1 -0.35
0.004259117250472361 5.722914769045025e-06 0.1 -0.3
0.004838719155300828 1.2675888680976877e-05 0.1 -0.45
0.004626338899232435 1.8043309384273456e-05 0.1 -0.4
0.005749905145303366 7.088180154186117e-06 0.1 -0.55
0.005192926288677035 9.24785226469595e-06 0.1 -0.5
0.00698039281344971 2.2241055883703087e-05 0.1 -0.65
0.006449628732321018 1.629026120838061e-05 0.1 -0.6
0.0066045812225512405 2.8226674937628794e-05 0.1 -0.75
0.007062644193454348 4.2599458924284625e-05 0.1 -0.7
0.005324470295960093 3.999977541830652e-05 0.1 -0.85
0.005922022032094414 4.3276764451356245e-05 0.1 -0.8
0.004278761837479769 3.387743570545808e-05 0.1 -0.95
0.004802280658264527 2.9139813050181353e-05 0.1 -0.9
0.0037422663310890366 2.7063248026326265e-05 0.1 -1.05
0.003968218204337098 3.125833236705039e-05 0.1 -1.0
0.003779596225986092 3.375915516933404e-05 0.1 -1.15
0.0037808325162617686 2.891417632817381e-05 0.1 -1.1
0.004078824599921414 3.856129376909204e-05 0.1 -1.25
0.0040210550891991124 3.382277258939329e-05 0.1 -1.2
0.004175551600343424 2.8113530430671988e-05 0.1 -1.35
0.004235368086105531 4.312162699857966e-05 0.1 -1.3
0.003685872265740778 3.587650451319178e-05 0.1 -1.45
0.0039175035371198 2.6768056427144206e-05 0.1 -1.4
0.0028704420782372426 3.568264253676532e-05 0.1 -1.55
0.003336982317175791 4.4348147328843925e-05 0.1 -1.5
0.0021887092621799354 4.161618295838399e-05 0.1 -1.65
0.002623943961731957 3.562519766959194e-05 0.1 -1.6
0.0015705152118016808 5.3817278407045685e-05 0.1 -1.75
0.001724802660051101 5.6365317187585414e-05 0.1 -1.7
0.000897013447599214 6.106159314075376e-05 0.1 -1.85
0.0008978246049085976 5.784597814204713e-05 0.1 -1.8
0.000220322254589269 6.464157395315706e-05 0.1 -1.95
0.0005232104176040266 6.49808538683954e-05 0.1 -1.9
0.0003476749508051109 8.795536505352877e-05 0.1 -2.0
0.0 0.0 0.1 0.0
