qpv slope error
0.0 0 0
-0.10526315789473684 0.0018977671713972326 1.8208209854936525e-06
-0.21052631578947367 0.0030510731106156955 6.833781522235727e-08
-0.3157894736842105 0.0035518900017574716 1.0273278418442516e-05
-0.42105263157894735 0.003972177588128898 4.768351581423407e-06
-0.5263157894736842 0.004827744899604424 2.8248762529659095e-06
-0.631578947368421 0.005888732640175218 3.868381442488069e-06
-0.7368421052631579 0.005350854445453234 4.167284673368034e-06
-0.8421052631578947 0.0040557931810458695 7.156544229309864e-06
-0.9473684210526315 0.003326833538474396 5.7387812072218635e-06
-1.0526315789473684 0.003028776700190432 1.566389044576062e-05
-1.1578947368421053 0.003297089456740922 1.3532472776072186e-05
-1.263157894736842 0.003582565992358227 1.273162196349677e-05
-1.3684210526315788 0.003260369704644981 1.1957093768132208e-05
-1.4736842105263157 0.0026035511927482956 1.0672806722163339e-05
-1.5789473684210527 0.001793032131691435 3.0991521414355616e-05
-1.6842105263157894 0.000517366291707027 3.6473284825323484e-05
-1.789473684210526 0.0012469611296106792 4.921313757281197e-05
-1.894736842105263 0.0003732740063948808 2.5751343929164436e-05
-2.0 0.0006301871214686623 3.200786645879647e-05
