slope error qpv qph
0.0005338143301757967 6.804890410770662e-07 0.075 0.1502349961
0.000534158346499459 6.031002610808389e-07 0.075 0.1502349961
0.00048330226553737867 1.2802744385396232e-06 0.075 0.1502349961
0.0005208041740454135 6.813389305377419e-07 0.075 0.1502349961
0.000496942125827822 1.1757826434449488e-06 0.075 0.1502349961
0.0005037785130117075 1.1731951683979258e-06 0.075 0.1502349961
0.0005048129202323625 7.849248853686741e-07 0.075 0.1502349961
0.0 0.0 0.175 0.1502349961
0.0 0.0 0.175 0.1502349961
0.000415973719464374 6.824079545062958e-07 0.08 0.1502349961
0.0004020856537590893 8.889765684665227e-07 0.08 0.1502349961
0.00041965180034859664 5.468809355762665e-07 0.08 0.1502349961
0.0004183175865367418 5.072922094298251e-07 0.08 0.1502349961
0.00038339519039484716 9.553816354930418e-07 0.08 0.1502349961
0.00038543906170344114 1.00017184536996e-06 0.08 0.1502349961
0.001681084331630482 1.1505902222182608e-06 -0.02 0.1502349961
0.0016805495874289054 1.1578777581716798e-06 -0.02 0.1502349961
0.0017161003011955686 1.7830416968096654e-06 -0.02 0.1502349961
0.0017235677328129191 1.6730269574463173e-06 -0.02 0.1502349961
0.0016543586081860166 1.6824342043104795e-06 -0.02 0.1502349961
0.001743727871714685 1.9445724641656416e-06 -0.02 0.1502349961
0.0015582733749126632 1.5211515863865857e-06 0.0 0.1502349961
0.0015448564573848607 1.492293096133015e-06 0.0 0.1502349961
0.0015890112569437855 1.7969807274483224e-06 0.0 0.1502349961
0.0015676489627356302 2.478172812282543e-06 0.0 0.1502349961
0.0015661843524101334 1.3886236136166497e-06 0.0 0.1502349961
0.001551341805179979 2.5166788901267676e-06 0.0 0.1502349961
0.0015659150600029327 1.1567233340159702e-06 0.0 0.1502349961
0.0015643467895105419 1.1378712895018834e-06 0.0 0.1502349961
0.0015675490877233716 1.0175325905184763e-06 0.0 0.1502349961
0.001993237795383968 3.3210031480171296e-06 -0.1 0.1502349961
0.001974001526822846 7.390768967886777e-06 -0.1 0.1502349961
0.0019693430654572283 6.90534790647008e-06 -0.1 0.1502349961
0.0020205294928922935 6.104104832203204e-06 -0.1 0.1502349961
0.002033784456354856 5.120350911972486e-06 -0.1 0.1502349961
0.002001682012455142 5.544981768348906e-06 -0.1 0.1502349961
0.0022235080644900434 9.880235602365283e-06 -0.15 0.1502349961
0.0022235080644900434 9.880235602365283e-06 -0.15 0.1502349961
0.002259330199895898 1.1946728962884383e-05 -0.15 0.1502349961
0.002309370819999834 2.4083303759478362e-05 -0.15 0.1502349961
0.002210874839165466 1.724308835259483e-05 -0.15 0.1502349961
0.002224129063274067 2.998327831198925e-05 -0.15 0.1502349961
0.002197966513178108 2.9181934424653245e-05 -0.15 0.1502349961
0.0019097036017719131 2.9657551867908064e-06 -0.05 0.1502349961
0.0019097036017719131 2.9657551867908064e-06 -0.05 0.1502349961
0.0018456808933076288 2.5495037408361176e-06 -0.05 0.1502349961
0.0018311395039979478 1.591859571516942e-06 -0.05 0.1502349961
0.0018296404850017304 1.7488310653584392e-06 -0.05 0.1502349961
0.0018672319655454466 2.4018289450048847e-06 -0.05 0.1502349961
0.0018773124814814974 2.461799817079304e-06 -0.05 0.1502349961
0.002020457610846748 2.3175953180173298e-05 -0.2 0.1502349961
0.0022102341972276614 1.2858723827039484e-05 -0.2 0.1502349961
0.0022282765252398255 1.3445674047821669e-05 -0.2 0.1502349961
0.002421670053932359 3.417394570937199e-05 -0.2 0.1502349961
0.0023002415607358425 3.237834884178578e-05 -0.2 0.1502349961
0.0026524832756455044 3.355772260124387e-05 -0.25 0.1502349961
0.0028692421374087204 3.533857278413363e-05 -0.25 0.1502349961
