qpv qv slope error
-1.5 26.4118499615 0.024168162725678743 0.004338008037857823
-1.5 26.4118499615 0.002240854320338554 8.547245581009031e-05
-1.5 26.4118499615 0.006009303734683651 0.00045480686584860715
-1.5 26.4118499615 0.009301978454656757 0.00026494396789785
-1.5 26.4118499615 0.008515891486692474 0.00030457477174415616
-1.5 26.4118499615 0.009842380252711747 0.00048357019886055645
-1.5 26.4118499615 0.007263996296363474 0.0005423118139795735
-1.5 26.4118499615 0.008274087264123651 0.0007267010711910891
-1.5 26.4118499615 0.007363583796635676 0.00029358914174969946
-1.5 26.4118499615 0.010515758275502909 0.0007929950699551161
-1.5 26.4118499615 0.011631088097237658 0.0009404354057477664
-1.5 26.4118499615 0.0027951443629940236 0.0001448273570015181
-1.5 26.4118499615 0.008786842242010212 0.00029134461328546757
-1.5 26.4118499615 0.010507522216532993 0.0004677685568481971
-1.5 26.4118499615 0.00890608953365354 0.0003344580599637198
-1.5 26.4118499615 0.011146861828337469 0.00041608859171611236
-1.5 26.4118499615 0.007185927984234973 0.0004785772791324966
-1.5 26.4118499615 0.002686333623983175 0.00012444127787526507
-1.5 26.4118499615 0.008691960641977671 0.00023718180226252523
-1.5 26.4118499615 0.010002896515607805 0.0005303600710645683
-1.5 26.4118499615 0.009832737762891218 0.0004114028167063488
-1.5 26.4118499615 0.010983369858598673 0.0004215536166372204
-1.5 26.4118499615 0.0070208448613362315 0.00047389538051467804
-1.5 26.4118499615 0.008469663178851068 0.0004553395781309978
-1.5 26.4718499615 0.010126035327730987 0.0003630631907503562
-1.5 26.4718499615 0.007754296370137612 0.0005600881573602127
-1.5 26.4718499615 0.009772607833603923 0.00026209050757590224
-1.5 26.4718499615 0.009965892143370743 0.0007993316009292046
-1.5 26.4718499615 0.0064350635659120425 0.0006350876337077275
-1.5 26.4718499615 0.008181012548873826 0.00019880842506612387
-1.5 26.4718499615 0.007934370825359962 0.0006628758716625223
-1.5 26.4718499615 0.010808368301944718 0.00037116819791264825
-1.5 26.4718499615 0.00629821872328696 0.000393369137724657
-1.5 26.4718499615 0.008112575770437997 0.00033786544417760476
-1.5 26.4718499615 0.007956805047180982 0.00034448075981669137
-1.5 26.4718499615 0.0 0.0
-1.5 26.4718499615 0.00971409497180187 0.0007497813606031723
-1.5 26.4718499615 0.012118585603608727 0.00045843413172499405
-1.5 26.4718499615 0.007554429075492951 0.0003550639185615788
-1.5 26.4718499615 0.007626268212915394 0.00033977081985568717
-1.5 26.4718499615 0.0068557219503954745 0.0004883067772827702
-1.5 26.4718499615 0.006630608062210424 0.0005823414980274036
-1.5 26.4718499615 0.008145594225514287 0.0006042905638320419
-1.5 26.4718499615 0.008682874389389784 0.0007946449901943194
-1.5 26.4718499615 0.009332835079734557 0.00023342050914767934
-1.5 26.4718499615 0.007055646021239837 0.0005522822687858838
-1.5 26.4718499615 0.010454376293932704 0.0008564019622922987
-1.5 26.4718499615 0.009475522506651934 0.0004896616328768848
-1.5 26.4718499615 0.007163819424177878 0.0002836295850094347
-1.5 26.4718499615 0.009326792196402919 0.0006730381372113322
-1.5 26.4718499615 0.007811135719147443 0.0007699636166038084
-1.5 26.4718499615 0.012531904323090039 0.0009178479291843632
-1.5 26.4718499615 0.01234785416813165 0.0009439423741322317
-1.5 26.4718499615 0.009050367052073299 0.0004136226579269523
-1.5 26.4718499615 0.009708149722638351 0.00027075703257758624
-1.5 26.4718499615 0.011064639427159878 0.0006912970022498054
-1.5 26.4718499615 0.010188180460281727 0.00039278181149946873
-1.5 26.4718499615 0.009714307344553625 0.0004908467886874945
-1.5 26.4718499615 0.011300302248019532 0.0010660130014836222
-1.5 26.4718499615 0.01054397826312649 0.0007019105741312039
-1.5 26.4718499615 0.00956288990190964 0.0004330291946202186
-1.5 26.4718499615 0.011477014260903466 0.0006179510543016584
-1.5 26.4718499615 0.00833037138231268 0.0009185838381605618
-1.5 26.4718499615 0.008465622720484468 0.0005158312651656858
-1.5 26.4118499615 0.008764456459698866 0.0002994857124535497
-1.5 26.4118499615 0.008532973147435665 0.0004180018716841555
-1.5 26.4118499615 0.009011057980717906 0.000522291029044548
-1.5 26.4118499615 0.009546545996996576 0.000474696462548511
-1.5 26.4118499615 0.0105573023489619 0.0003299908918483117
-1.5 26.4118499615 0.008177648173517854 0.0006899304572739795
-1.5 26.4118499615 0.009148874063689045 0.0006899550073444788
-1.5 26.4118499615 0.008570752594145149 0.00026326589337105616
-1.5 26.4118499615 0.009924162597507698 0.0006178199383020778
-1.5 26.4118499615 0.010237362163220673 0.0004039660528699534
-1.5 26.3618499615 0.007077836320937683 0.0003219085145158479
-1.5 26.3618499615 0.005290410187037594 0.00013297270033089682
-1.5 26.3618499615 0.006198077111128348 0.00021276266591359138
-1.5 26.3618499615 0.005500539519524925 0.00014609296046016475
-1.5 26.3618499615 0.006493463342915892 0.00017802792203288825
-1.5 26.3618499615 0.006314033027134338 0.00016535710152363987
-1.5 26.3618499615 0.0053176034557378205 0.00015427012153554516
-1.5 26.3618499615 0.006325235395613408 0.0002160675507248355
-1.5 26.3618499615 0.0 0.0
-1.5 26.3618499615 0.007328449853117937 0.0002012004732224538
-1.5 26.3618499615 0.005777254490339309 0.00015300488036858032
-1.5 26.3618499615 0.004821552416174408 0.0001734724034187773
-1.5 26.3618499615 0.0076171305940040904 0.00017470333548778844
-1.5 26.3618499615 0.007131398744156974 0.00016339464607251035
-1.5 26.3618499615 0.0058718424912323815 0.00020269505520252053
-1.5 26.3118499615 0.008743719461755114 0.00044576383656961383
-1.5 26.3118499615 0.007693597158223664 0.00047217108235039535
-1.5 26.3118499615 0.006571632671906554 0.00047641046736697035
-1.5 26.3118499615 0.007180104829106126 0.00034610463175316765
-1.5 26.3118499615 0.0049900968400981415 0.0006620701107206537
-1.5 26.3118499615 0.006354578959390441 0.0003399086784002077
-1.5 26.3118499615 0.006882613124140263 0.0003602482261085116
-1.5 26.3118499615 0.010022975832913984 0.0004621012437647041
-1.5 26.3118499615 0.00880074801231552 0.0005856889083936678
-1.5 26.3118499615 0.005587700988908056 0.0003290015588982432
-1.5 26.3118499615 0.006697312620407177 0.0004909090159876904
-1.5 26.3118499615 0.007988568513365846 0.0004005129136509966
-1.5 26.3118499615 0.004741564632058578 0.0003133472352452736
-1.5 26.3118499615 0.00901698098929274 0.0002933860832512724
-1.5 26.3118499615 0.0061061408824566845 0.0005154379099286311
-1.5 26.3118499615 0.007626239258210775 0.0003782038627747513
-1.5 26.2618499615 0.007986145624990667 0.00039345727765671115
-1.5 26.2618499615 0.008024681418535436 0.00033707041665817164
-1.5 26.5518499615 0.007301756402835601 0.0005307311977962944
-1.5 26.5518499615 0.008202338799532935 0.00034819280477940684
-1.5 26.5518499615 0.00907235963743447 0.0005211147243667978
-1.5 26.5518499615 0.008306157490943274 0.0003589638349254616
-1.5 26.5518499615 0.009843415050610439 0.00039336941931280634
-1.5 26.5518499615 0.009285110311854805 0.00034899550524831205
-1.5 26.5518499615 0.008403403974228696 0.0007867329164105964
-1.5 26.5518499615 0.006773914975591693 0.0007035792699768064
-1.5 26.5518499615 0.009232535367949454 0.0004913168144946105
-1.5 26.5518499615 0.010692938049367792 0.0003416378430644668
-1.5 26.5518499615 0.008942695790924849 0.0005881479111745799
-1.5 26.5518499615 0.009442062041719195 0.00043476219543484674
-1.5 26.5518499615 0.009275930766673334 0.0006954183902192157
-1.5 26.5518499615 0.0008147674618543252 0.0008274232830202281
-1.5 26.5518499615 0.008009653228372302 0.00028738173127056897
-1.5 26.5518499615 0.009852249009226998 0.0007108705573885646
-1.5 26.5518499615 0.011213250330461748 0.0005290073842525348
-1.5 26.6318499615 0.012533045777094411 0.0006536894465691087
-1.5 26.6318499615 0.008085258349688873 0.0004218796797269714
-1.5 26.6318499615 0.014386826439649182 0.0008184905156771939
-1.5 26.6318499615 0.00781877911204892 0.0008820442232462889
-1.5 26.6318499615 0.009641669127088802 0.0006027102902652246
-1.5 26.6318499615 0.00793710030681499 0.0004626029529506759
-1.5 26.6318499615 0.00933737778215652 0.0011184191818081248
-1.5 26.6318499615 0.00870628323043065 0.0008936334670121292
-1.5 26.6318499615 0.0057900095285767835 0.00021415118616627227
-1.5 26.6318499615 0.007762360484609062 0.0006821632199348565
-1.5 26.6318499615 0.0069798725384524855 0.00048505919244544975
-1.5 26.6318499615 0.00746116505245342 0.0009148943091765645
-1.5 26.6318499615 0.008550974890316972 0.0007849375313219064
-1.5 26.6318499615 0.01035781029342611 0.0005598807927027665
-1.5 26.6318499615 0.007437502675856884 0.00039248414559264565
-1.5 26.6318499615 0.009268346545130816 0.0005735861195425861
-1.5 26.6318499615 0.006282416329000472 0.0004757790909391444
-1.5 26.6318499615 0.008395445674877142 0.0005594307782060397
-1.5 26.6318499615 0.009537650333260768 0.0005799951644347651
-1.5 26.6318499615 0.007983896741394485 0.0008988825793373898
-1.5 26.6318499615 0.007830316760305272 0.0003601128314679179
-1.5 26.6818499615 0.007537139036751409 0.0004833719155245191
-1.5 26.6818499615 0.0112770237175786 0.0009266916121871478
-1.5 26.6818499615 0.0071254683292509445 0.0006766630230427327
-1.5 26.6818499615 0.008263494716441167 0.00033589306504583165
-1.5 26.6818499615 0.010193986622813152 0.0004015852077727771
-1.5 26.6818499615 0.010461833518407114 0.001139564124975062
-1.5 26.6818499615 0.011994174291118117 0.0010194730095015835
-1.5 26.6818499615 0.009616949228494296 0.0008143606459759459
-1.5 26.6818499615 0.009647604299463831 0.0005562410647025574
-1.5 26.6818499615 0.009596894375945426 0.000534861351484007
-1.5 26.6818499615 0.006364729089437476 0.0003792008552463769
-1.5 26.6818499615 0.008890576584550107 0.00043704470965894027
-1.5 26.6818499615 0.008278292660278746 0.0005492317639801052
-1.5 26.6818499615 0.008685097849940336 0.0004777173723658561
-1.5 26.6818499615 0.011754020952775354 0.0008762617606970332
-1.5 26.4118499615 0.008641196911292445 0.0007716731450896557
-1.5 26.4118499615 0.009216329933885532 0.00033707122232509257
-1.5 26.4118499615 0.009698775348730633 0.00037221671850327866
-1.5 26.4118499615 0.010468640485306498 0.0004341468009314469
