qpv intensity tune
1.4 4.0078707 0.12271543689021008
0.6 13.195281 0.17808847506024977
0.8 4.0382004 0.1862038421524185
1.4 4.029721 0.12003446669126001
0.8 6.5822725 0.17875729456318937
1.4 9.811014 0.20794494443657477
0.6 10.021664 0.18045283754835245
1.0 4.0623 0.18609374386014219
1.0 3.4460638 0.18058040144227078
0.8 12.729508 0.1767541625910311
1.4 12.957403 0.19197172716784056
1.0 11.558242 0.18536219578021793
0.45 12.555136 0.17317517004223928
1.4 13.2983265 0.19581654906319276
0.6 13.325304 0.17316576348455945
1.4 4.0192604 0.11991583839548597
1.0 13.084595 0.18003952273956017
0.45 6.511501 0.17795632076932008
0.6 3.3858633 0.18057039615265447
0.6 11.549804 0.17589024029788422
1.4 8.520379 0.07830958569600045
0.2 12.726982 0.175801199120387
0.45 3.293157 0.1813412631370851
0.6 5.0527415 0.17998886622483268
1.0 4.9950542 0.18207449181294802
0.45 11.183691 0.17380913022330968
0.45 6.631732 0.1799166153597132
0.45 9.978363 0.17722558894686813
1.4 4.063339 0.11780180665507597
0.45 9.538215 0.17851011709057163
1.0 5.0686555 0.1852264980745987
1.4 4.010744 0.11510149848452275
0.8 4.9700804 0.18026493123114243
0.45 11.125238 0.1775689783087669
0.45 3.4334695 0.18088325140701134
1.4 3.9860451 0.12260175284513065
1.4 3.968591 0.12406455482944914
0.8 6.4767003 0.17972411945557035
1.4 9.8054695 0.20932743678575794
1.4 4.001818 0.12173855001221388
0.6 3.3571355 0.17691071185646504
0.2 6.580547 0.17865300800486922
0.6 13.213819 0.17573681575085487
0.45 3.945818 0.1844193169539437
1.0 13.167377 0.18358579762323526
1.4 3.9957354 0.12125681593183407
0.2 4.0662613 0.1865368040003922
0.8 3.390259 0.18052815822770743
1.0 12.952169 0.18378973859933762
1.0 12.646542 0.18197116370826344
0.6 4.0094786 0.18508237126569338
1.0 6.644112 0.18045240411615857
1.4 13.163495 0.20094926179208084
1.0 13.269871 0.18563118844879098
0.6 4.9732223 0.18115732172850382
1.4 4.034293 0.11433192535395917
1.0 9.594081 0.18478703402822869
1.0 13.53429 0.17930418913934296
0.2 4.0763793 0.18614122079781756
0.8 9.779107 0.18315331672204616
0.8 6.4837213 0.1814778110077208
1.0 13.246896 0.18538778065460287
0.2 5.0400987 0.18164123440020455
0.8 13.086199 0.1776855211359232
0.6 4.981103 0.17598019872165832
0.6 4.072259 0.18461323192515508
1.4 3.9655154 0.11999925408150457
0.45 4.0665674 0.1841757245030318
0.2 4.0298433 0.1801847211388855
1.0 13.27609 0.18093798927787574
0.2 6.486925 0.17251358887333818
1.4 4.988684 0.11339070267462183
1.4 3.9956985 0.10980215521700891
0.2 5.068808 0.18099162033984
1.0 5.0044937 0.1848702333266196
1.0 6.610236 0.18141700690497417
0.45 4.9777346 0.1796768196849193
1.0 5.0340834 0.17974691003381962
0.2 9.640152 0.1746499099568325
0.2 6.397676 0.1757763014514421
1.4 4.0121446 0.11425497430066432
1.4 9.971402 0.20239270950466018
0.45 4.996595 0.18070622085885088
1.4 3.9559848 0.12007167818512259
0.6 5.081378 0.1802485451526332
1.4 9.950831 0.20024292219776615
0.8 9.959023 0.18413021862408127
1.4 3.9634922 0.1111446387890894
1.0 4.1457076 0.18671719712349788
1.4 4.001695 0.11942859690530225
0.2 11.847917 0.1939645524368635
0.2 5.1180778 0.1815608535573627
0.45 11.350424 0.1739338279532008
0.8 5.082625 0.17978276037362542
1.0 5.093666 0.1835801540686061
0.2 3.399778 0.18304682944948863
0.8 11.651863 0.17774305663271395
1.0 12.662678 0.18444640919651015
1.4 4.0157814 0.12089434712128597
0.6 4.9994984 0.18105292956596558
0.2 4.095594 0.18576857118880546
0.6 11.335889 0.1765630176090351
0.2 3.483601 0.18301876281807078
0.2 9.430242 0.17399163908295867
0.8 3.363402 0.17911518478557842
0.2 8.455769 0.18018656707922207
0.45 3.3807278 0.18293884471183572
0.8 19.743612 0.1624421389351548
0.2 9.7596445 0.17397163589048908
0.45 3.2601798 0.1829295184898089
1.4 3.3437533 0.11228344680070139
1.4 4.0269938 0.11918257913726071
0.45 11.361881 0.17524496341906842
0.2 6.4954863 0.17631751294490217
0.45 11.183752 0.17544438633085335
1.4 8.125379 0.08364767489610946
0.45 10.0203705 0.17893723377347864
0.2 6.4646897 0.17225135678507852
0.45 9.879937 0.17763672152681764
0.8 9.750404 0.18573881453640945
0.45 12.427203 0.17326146005693668
0.6 3.459006 0.18185903230259462
0.2 3.6372595 0.18443621705510463
0.2 4.017114 0.1799884135094118
1.4 13.214435 0.1930264512178333
1.4 3.5659995 0.3362029143119243
1.4 4.0695934 0.11501249097124949
