x, y
0, 0.04769001490312966
0, 0.04769001490312966
-0.10054347826086957, 0.11922503725782414
-0.10054347826086957, 0.11922503725782414
-0.20652173913043478, 0.22652757078986588
-0.20652173913043478, 0.22652757078986588
-0.30978260869565216, 0.21460506706408344
-0.30978260869565216, 0.21460506706408344
-0.421195652173913, 0.20268256333830104
-0.421195652173913, 0.20268256333830104
-0.5163043478260869, 0.04769001490312966
-0.5163043478260869, 0.04769001490312966
-1.1657608695652173, 0.03576751117734724
-1.1657608695652173, 0.03576751117734724
-1.997282608695652, 0.011922503725782414
-1.997282608695652, 0.011922503725782414
