slope error qpv qph qv qh
0.0014158244343257435 3.983391890156727e-06 -0.4 0.4 26.45 26.13
0.001088576458582849 1.3865987043032928e-06 -0.2 0.4 26.45 26.13
0.001088576458582849 1.3865987043032928e-06 -0.2 0.4 26.45 26.13
0.001179595613108761 2.1613434099543454e-06 -0.2 0.4 26.45 26.13
0.0011602433162811012 2.3721092539469177e-06 -0.2 0.4 26.45 26.13
0.0011602433162811012 2.3721092539469177e-06 -0.2 0.4 26.45 26.13
0.001084078789246957 2.745947876684972e-06 -0.2 0.4 26.45 26.13
0.001084078789246957 2.745947876684972e-06 -0.2 0.4 26.45 26.13
0.0013746608428874115 5.42954725310703e-06 -0.4 0.4 26.45 26.13
0.0014494656528426144 2.8205260249130358e-06 -0.4 0.4 26.45 26.13
0.0014494656528426144 2.8205260249130358e-06 -0.4 0.4 26.45 26.13
0.0013238541956166305 3.236393437515712e-06 -0.4 0.4 26.45 26.13
0.0011912675101953957 1.0012776398256915e-05 -0.4 0.4 26.45 26.13
0.0011912675101953957 1.0012776398256915e-05 -0.4 0.4 26.45 26.13
0.0014926157969609706 2.500414884601036e-06 -0.4 0.4 26.45 26.13
0.0013429151378438664 6.010148589120179e-06 -1.0 0.4 26.45 26.13
0.0013429151378438664 6.010148589120179e-06 -1.0 0.4 26.45 26.13
0.0022187624006226323 1.6159127713625864e-05 -1.0 0.4 26.45 26.13
0.0013801279899025986 2.7550258336820945e-05 -1.0 0.4 26.45 26.13
0.0013801279899025986 2.7550258336820945e-05 -1.0 0.4 26.45 26.13
0.002144805005152755 1.504280063426034e-05 -1.0 0.4 26.45 26.13
0.001219448197742102 2.7415672230371978e-05 -1.0 0.4 26.45 26.13
0.0016382390184998528 5.935835553805285e-06 -0.6 0.4 26.45 26.13
0.0016382390184998528 5.935835553805285e-06 -0.6 0.4 26.45 26.13
0.0015443986875225703 6.716968091217421e-06 -0.6 0.4 26.45 26.13
0.0017076635083030176 4.7768794810001495e-06 -0.6 0.4 26.45 26.13
0.0017076635083030176 4.7768794810001495e-06 -0.6 0.4 26.45 26.13
0.0012569378873427226 1.2230234156079978e-05 -0.6 0.4 26.45 26.13
0.0016436206330246478 3.9761904105220805e-06 -0.6 0.4 26.45 26.13
0.0016436206330246478 3.9761904105220805e-06 -0.6 0.4 26.45 26.13
0.0013219544215277896 1.5924370160069428e-05 -0.8 0.4 26.45 26.13
0.0013587683001177527 1.591797851183963e-05 -0.8 0.4 26.45 26.13
0.0013587683001177527 1.591797851183963e-05 -0.8 0.4 26.45 26.13
0.0014264264463249784 1.6065272991604297e-05 -0.8 0.4 26.45 26.13
0.0014264264463249784 1.6065272991604297e-05 -0.8 0.4 26.45 26.13
0.00172821655804839 1.0944130330107218e-05 -0.8 0.4 26.45 26.13
0.0013517151001076952 1.5678199641812638e-05 -0.8 0.4 26.45 26.13
0.0013517151001076952 1.5678199641812638e-05 -0.8 0.4 26.45 26.13
0.0015677082746234274 1.4257184510496352e-05 -0.8 0.4 26.45 26.13
0.0015677082746234274 1.4257184510496352e-05 -0.8 0.4 26.45 26.13
0.00246461454450504 6.937752431022064e-06 -1.2 0.4 26.45 26.13
0.002300195027498456 1.0184791130306332e-05 -1.2 0.4 26.45 26.13
0.002300195027498456 1.0184791130306332e-05 -1.2 0.4 26.45 26.13
0.002543155253092934 8.410277585135261e-06 -1.2 0.4 26.45 26.13
0.002313832717221278 6.766474050650464e-06 -1.2 0.4 26.45 26.13
0.002313832717221278 6.766474050650464e-06 -1.2 0.4 26.45 26.13
0.002329577361555222 7.21595699390685e-06 -1.2 0.4 26.45 26.13
0.002329577361555222 7.21595699390685e-06 -1.2 0.4 26.45 26.13
0.0022369225248828895 8.656795613375298e-06 -1.4 0.4 26.45 26.13
0.002278756780660752 8.99060878972926e-06 -1.4 0.4 26.45 26.13
0.002278756780660752 8.99060878972926e-06 -1.4 0.4 26.45 26.13
0.0023201591398048817 8.929091112635701e-06 -1.4 0.4 26.45 26.13
0.0023201591398048817 8.929091112635701e-06 -1.4 0.4 26.45 26.13
0.0023123423729493374 7.14411549162076e-06 -1.4 0.4 26.45 26.13
0.002148825149043427 1.3043986267115925e-05 -1.6 0.4 26.45 26.13
0.002148825149043427 1.3043986267115925e-05 -1.6 0.4 26.45 26.13
0.002007146667323088 1.3518081551668157e-05 -1.6 0.4 26.45 26.13
0.002174440624056136 1.3339718298921239e-05 -1.6 0.4 26.45 26.13
0.002247465445482908 1.2795165835786952e-05 -1.6 0.4 26.45 26.13
0.002183704130183558 1.2928675727463397e-05 -1.6 0.4 26.45 26.13
0.002268407170123494 1.7340205926428534e-05 -1.8 0.4 26.45 26.13
0.0019033181739151642 1.926997775993917e-05 -1.8 0.4 26.45 26.13
0.0019033181739151642 1.926997775993917e-05 -1.8 0.4 26.45 26.13
0.0020187084751267332 1.9190357341405243e-05 -1.8 0.4 26.45 26.13
0.0020187084751267332 1.9190357341405243e-05 -1.8 0.4 26.45 26.13
0.002097535247533632 1.8676274914070667e-05 -1.8 0.4 26.45 26.13
0.0019964887265056124 1.8600460270497895e-05 -1.8 0.4 26.45 26.13
0.0018353084872288164 2.5055665771233116e-05 -2.0 0.4 26.45 26.13
0.0018353084872288164 2.5055665771233116e-05 -2.0 0.4 26.45 26.13
0.0020291064177203623 2.54505841961581e-05 -2.0 0.4 26.45 26.13
0.0019557795338479315 2.3462907671353612e-05 -2.0 0.4 26.45 26.13
0.0019557795338479315 2.3462907671353612e-05 -2.0 0.4 26.45 26.13
0.0021403033770400156 2.792541408880175e-05 -2.0 0.4 26.45 26.13
0.0017801963177741732 9.03706127520886e-05 -2.2 0.4 26.45 26.13
0.0017801963177741732 9.03706127520886e-05 -2.2 0.4 26.45 26.13
0.002463627292043906 0.00010266889412426938 -2.2 0.4 26.45 26.13
0.002463627292043906 0.00010266889412426938 -2.2 0.4 26.45 26.13
0.00130405039733514 1.594089594087737e-05 -0.8 0.4 26.45 26.13
0.002176859345130572 0.00010501253441824049 -2.2 0.4 26.45 26.13
0.0023486648347927283 6.546498500974137e-05 -2.4 0.4 26.45 26.13
0.002612107779862014 3.9178198952005806e-05 -2.4 0.4 26.45 26.13
0.0030664876951300942 5.63763254773322e-05 -2.4 0.4 26.45 26.13
0.0030664876951300942 5.63763254773322e-05 -2.4 0.4 26.45 26.13
0.002470621875045519 6.605782497251137e-05 -2.4 0.4 26.45 26.13
0.002470621875045519 6.605782497251137e-05 -2.4 0.4 26.45 26.13
0.0028795696938705997 5.8764434685503814e-05 -2.4 0.4 26.45 26.13
0.002368469334510977 3.269174799982818e-05 -2.4 0.4 26.45 26.13
0.002368469334510977 3.269174799982818e-05 -2.4 0.4 26.45 26.13
0.0019723876711233 4.2459343113938514e-05 -2.6 0.4 26.45 26.13
0.0019723876711233 4.2459343113938514e-05 -2.6 0.4 26.45 26.13
0.0022011839745717516 3.5939282644013e-05 -2.6 0.4 26.45 26.13
0.0020722874881107245 3.4482646073998065e-05 -2.6 0.4 26.45 26.13
0.0020071317159006826 2.4469649303046343e-05 -2.6 0.4 26.45 26.13
0.0020018990210748486 2.8904370591533362e-05 -2.6 0.4 26.45 26.13
0.002046911816598495 6.686444535999017e-05 -2.8 0.4 26.45 26.13
0.001972327123395223 6.0035404010120406e-05 -2.8 0.4 26.45 26.13
0.0020237645914819393 3.698872238096624e-05 -2.8 0.4 26.45 26.13
0.0020237645914819393 3.698872238096624e-05 -2.8 0.4 26.45 26.13
0.002116023282770994 4.5147305155361964e-05 -2.8 0.4 26.45 26.13
0.002090035942940645 5.298861108136753e-05 -2.8 0.4 26.45 26.13
0.002090035942940645 5.298861108136753e-05 -2.8 0.4 26.45 26.13
0.002432035115151938 9.34663224057813e-05 -3.0 0.4 26.45 26.13
0.0023970649622140484 8.366253807639804e-05 -3.0 0.4 26.45 26.13
0.0024442870684844237 4.7557904590844666e-05 -3.0 0.4 26.45 26.13
0.0024442870684844237 4.7557904590844666e-05 -3.0 0.4 26.45 26.13
0.0024956092571738952 9.947650707752238e-05 -3.0 0.4 26.45 26.13
0.002295266054831059 5.949876296954254e-05 -3.0 0.4 26.45 26.13
0.002555316920992015 7.925303280363446e-05 -3.0 0.4 26.45 26.13
0.002555316920992015 7.925303280363446e-05 -3.0 0.4 26.45 26.13
0.002181553365543904 2.6463981667916864e-05 -3.0 0.4 26.45 26.13
0.0031341895973332292 0.00012704785618533078 -3.2 0.4 26.45 26.13
0.0029648033615201222 7.981333452942436e-05 -3.2 0.4 26.45 26.13
0.0029648033615201222 7.981333452942436e-05 -3.2 0.4 26.45 26.13
0.0032973500760815413 8.094290418269551e-05 -3.2 0.4 26.45 26.13
0.0032973500760815413 8.094290418269551e-05 -3.2 0.4 26.45 26.13
0.0032673522998212996 0.00014309213054773158 -3.2 0.4 26.45 26.13
0.003238089261916354 9.96365304124897e-05 -3.2 0.4 26.45 26.13
0.0028032677105695857 3.8074224474250746e-05 -3.2 0.4 26.45 26.13
0.002557981158859297 5.519529299605592e-05 -3.2 0.4 26.45 26.13
0.002557981158859297 5.519529299605592e-05 -3.2 0.4 26.45 26.13
0.0036601107926832986 8.419192515807509e-05 -3.4 0.4 26.45 26.13
0.0036601107926832986 8.419192515807509e-05 -3.4 0.4 26.45 26.13
0.003190628136739769 3.852153320013091e-05 -3.4 0.4 26.45 26.13
