qpv slope error
0.0 0.0019405801825731533 6.787370850394379e-06
0.0 0.002093404191951448 4.130883825369516e-06
0.0 0.002172852172022814 1.8110000990744527e-06
0.0 0.0020709688260325825 6.426214737309888e-06
0.0 0.002008848399753377 5.571906588762312e-06
0.0 0.0021290873319792605 3.0255349687410114e-06
0.0 0.0020380057925284004 3.502702459709006e-06
0.0 0.0020196502651822854 9.107710732865754e-06
0.0 0.002053165510224134 3.433129169517671e-06
-0.1 0.0021334468813808713 3.3809390862918806e-06
-0.1 0.003236640615166031 2.3083276819407094e-05
-0.1 0.0037319514252956024 1.0203096273913274e-05
-0.1 0.0035412462664600876 1.6328957836130103e-05
-0.1 0.0037182994698185708 1.9573423565249054e-05
-0.2 0.004231488325668884 3.843093025843402e-05
-0.2 0.004230307001588752 4.550097268822249e-05
-0.2 0.004522342615787611 2.275095260123103e-05
-0.2 0.004523148638189868 4.365687941873513e-05
-0.3 0.004667705008380404 4.192718190274488e-05
-0.3 0.004753414212600436 2.821632474522555e-05
-0.3 0.004837824492075713 5.905125783284945e-05
-0.4 0.00446593733570458 5.716635883653285e-05
-0.4 0.004865071533414151 7.839621525813623e-05
-0.4 0.0035724442856294235 9.005863241790736e-05
-0.4 0.004646161201087953 4.1149638831270844e-05
-0.4 0.004551775390141178 6.215614129728929e-05
-0.4 0.004675086349835552 7.362746011843725e-05
-0.5 0.005262416404709501 5.788067557081528e-05
-0.5 0.00598426926035187 6.8979636549342e-05
-0.5 0.00600829961579439 6.96793391231295e-05
-0.6 0.00530706377759392 7.601518706442504e-05
-0.6 0.00689108307677696 5.7874423274758175e-05
-0.6 0.007051479174669271 9.216082341495666e-05
-0.6 0.006627714834171068 8.365689754186663e-05
-0.6 0.006934145358151131 0.00011981792972113155
-0.7 0.006463901644002912 9.999059889910748e-05
-0.7 0.0069174787909878094 6.156596920088846e-05
-0.7 0.006631259512534729 6.801202415436273e-05
-0.7 0.007308195061345478 8.515202665425283e-05
-0.7 0.007350959070704043 0.0003760199759911463
-0.8 0.007925299671020422 0.0004208085475561932
-0.8 0.004547440830875223 0.00014394087334112135
-0.8 0.004908678745642023 0.00019213081971733068
-0.8 0.003317345231548391 0.00027286553011093953
-0.8 0.0037941865791884873 0.00023628870221271134
-0.8 0.004243413486902967 0.00024021532643717997
-0.8 0.004141288957513522 0.00029470722696210293
-0.8 0.004202273056372878 0.00025450111815122786
-0.8 0.0036207963974357236 0.00016820752724719872
-0.8 0.003591602294539687 0.00034508540981063965
-0.8 0.004540353247666419 0.00023592014253477912
-0.8 0.004818599088047345 0.0002961409186466923
-0.8 0.004894781525301247 0.0003284886224724891
-0.8 0.005444838843498772 0.0001874513702452775
-0.8 0.0044980609606583245 0.00018802385370256732
-0.8 0.005004123877508532 0.0005648175024700234
-0.9 0.00487593598584809 0.0002678498540856556
-0.9 0.005286653572559942 0.00023010237384999725
-0.9 0.00558806492128164 0.00013709992880523984
-0.9 0.007844432602034844 0.00029293212252245467
-0.9 0.007064430035384513 0.00013192435793788892
-0.9 0.005295941359503103 0.00010710417586476192
-0.9 0.005356043922417671 0.00010947463720785602
-0.9 0.005863477952804579 0.00010580356835683817
-0.9 0.007126802927567056 0.0002195510314172303
-0.9 0.0065737252553429186 0.00014997029442800913
-0.9 0.006581494084805342 0.00016884563874072043
-0.9 0.006470258516176603 0.00010542203606975413
-0.9 0.007136192476495714 0.00017401417443287247
-0.9 0.006103329208012556 0.00019006465292353402
-0.9 0.005777298635582376 0.00010282830085037438
-0.9 0.006325287549798944 0.00014462863428896597
-0.9 0.005137076163559667 9.045826483944643e-05
-0.9 0.005874657452467207 7.856818914198637e-05
-0.9 0.006580718307697931 0.0001175404910167129
-1.0 0.005892145138917935 8.741630503617024e-05
-1.0 0.004723448986544887 9.472765184793541e-05
-1.0 0.005991432321364133 7.658572322261614e-05
-1.0 0.005613916598621356 6.199486503414158e-05
-1.0 0.005832606352990805 7.225741107695023e-05
-1.0 0.005559791717542591 8.500235727361806e-05
-1.0 0.0055924078812051815 5.574360000625701e-05
-1.0 0.005986084354452107 7.152550911465545e-05
-1.0 0.006547379947492789 0.00011330716928216907
-1.0 0.0055404534690503965 8.586713715323683e-05
-1.1 0.004866544345761023 0.0002069695036645498
-1.1 0.0049318341880644255 0.00023312822039249864
-1.1 0.005076054386620588 0.00021023291898146967
-1.1 0.005851898179002899 0.00015741919708982437
-1.1 0.004725207145211596 0.00018468826476731242
-1.1 0.0049316491839856355 0.00025414958115029055
-1.2 0.00464207542351145 8.981730269645796e-05
-1.2 0.006230930703858924 0.0010160853657882392
-1.2 0.004167030140110249 0.0007389694393828264
-1.2 0.00561654905309993 0.0007488932801289418
-1.2 0.004222027844409362 0.0004660177706436337
-1.2 0.004324127786685164 0.0004156535578150358
-1.3 0.006188364832985828 0.0007437973489308617
-1.3 0.007826306062099896 0.0003968138361894481
-1.3 0.006211658921957558 0.0011369813022188452
-1.3 0.006077590943952609 0.0010868433640946892
-1.3 0.006212447273676634 0.0005484389943990178
-1.3 0.006440821757404617 0.0003505201907288746
-1.3 0.005028166532706211 0.0006082793262351825
-1.3 0.0057931181071755695 0.00046748449405438936
-1.4 0.006260174643005622 0.0003865920640125319
-1.4 0.0067782289748972244 0.000860366695071771
-1.4 0.006384697381968889 0.0006078030962549962
-1.4 0.00931941552659966 0.0013036603230034685
-1.5 0.008253917998408364 0.00047760030698138563
-1.5 0.010794035372469741 0.0006424472009256447
-1.5 0.010303902120756932 0.0010522352225397378
-1.6 0.010501713858644037 0.0007591904831927384
-1.6 0.011209346431129277 0.0007638760082563945
-1.7 0.008837510702117312 0.00037384831255192263
