slope error qpv qph qv qh
0.005890789640929024 0.00040070255322267076 -1.5 0.3502349961 26.24 26.13
0.007637040346803922 0.0004760843205136534 -1.5 0.3502349961 26.24 26.13
0.006987860062436835 0.0005415390940225474 -1.5 0.3502349961 26.24 26.13
0.009337043734959225 0.0004972687486220461 -1.5 0.3502349961 26.24 26.13
0.006135306846906668 0.00040292016712683486 -1.5 0.3502349961 26.24 26.13
0.006675473589463293 0.0005955116908359009 -1.5 0.3502349961 26.24 26.13
0.006208582213260769 0.00047236573896215154 -1.5 0.3502349961 26.24 26.13
0.006027732330413713 0.00032062758269132345 -1.5 0.3502349961 26.24 26.13
0.007675484645676796 0.0005925099704884642 -1.5 0.3502349961 26.24 26.13
0.007337529555835395 0.0005134631348892364 -1.5 0.3502349961 26.24 26.13
0.007067777656258634 0.0005506933371724925 -1.5 0.3502349961 26.18 26.13
0.008661560358078552 0.0005301125415155468 -1.5 0.3502349961 26.18 26.13
0.008167379079505701 0.0004972809320927463 -1.5 0.3502349961 26.18 26.13
0.010469507038851971 0.0002875460034188516 -1.5 0.3502349961 26.18 26.13
0.007283886977397982 0.0005438410805602553 -1.5 0.3502349961 26.18 26.13
0.00797938483939539 0.0003761863414816908 -1.5 0.3502349961 26.13 26.13
0.00581037763957818 0.00020463342569158364 -1.5 0.3502349961 26.13 26.13
0.00564348769984266 0.00017791931749027267 -1.5 0.3502349961 26.13 26.13
0.0056484681535137 0.000174733982402599 -1.5 0.3502349961 26.13 26.13
0.005407688102455311 0.00014726620350872648 -1.5 0.3502349961 26.13 26.13
0.006138973161923753 0.0002612229964416411 -1.5 0.3502349961 26.13 26.13
0.0049092158963661104 0.00020361958177277328 -1.5 0.3502349961 26.13 26.13
0.0070120322544402 0.0003458830542272773 -1.5 0.3502349961 26.08 26.13
0.007881372478650412 0.0007194815903247577 -1.5 0.3502349961 26.08 26.13
0.005478948507294719 0.00042496693316411123 -1.5 0.3502349961 26.08 26.13
0.0063671934605436745 0.00033312276387782974 -1.5 0.3502349961 26.08 26.13
0.008137822327623227 0.0005568317480105701 -1.5 0.3502349961 26.08 26.13
0.008182787988620892 0.000339301643211307 -1.5 0.3502349961 26.08 26.13
0.007480766720439493 0.00046447199131585215 -1.5 0.3502349961 26.08 26.13
0.008166874974041536 0.00041621920903750834 -1.5 0.3502349961 26.08 26.13
0.008498690667225195 0.0002962544080193086 -1.5 0.3502349961 26.08 26.13
0.006274384697437281 0.00044797260498143 -1.5 0.3502349961 26.32 26.13
0.006434337864713821 0.0004288052433405979 -1.5 0.3502349961 26.32 26.13
0.007447684227227596 0.0004941606921439869 -1.5 0.3502349961 26.32 26.13
0.007732321157279335 0.0003357178307444638 -1.5 0.3502349961 26.32 26.13
0.007606086970425073 0.0004958003229614109 -1.5 0.3502349961 26.32 26.13
0.006588402930172152 0.0004588093556822668 -1.5 0.3502349961 26.32 26.13
0.005943864509762702 0.0004228017396383945 -1.5 0.3502349961 26.40 26.13
0.005176779292914699 0.00033768119508917663 -1.5 0.3502349961 26.40 26.13
0.005987659020373438 0.000589048842076237 -1.5 0.3502349961 26.40 26.13
0.004182676698866527 0.00041899535047261715 -1.5 0.3502349961 26.40 26.13
0.002027120031616156 0.00020527931357971024 -1.5 0.3502349961 26.40 26.13
0.00627110277862261 0.0004659906470660663 -1.5 0.3502349961 26.4 26.13
0.007051959814448526 0.00038468379388040795 -1.5 0.3502349961 26.45 26.13
0.006886855400805996 0.0004296580394048446 -1.5 0.3502349961 26.45 26.13
0.004432978996213305 0.0006010069610069493 -1.5 0.3502349961 26.45 26.13
0.006340361237668825 0.000593468106460578 -1.5 0.3502349961 26.45 26.13
0.008159693290174842 0.0006785185933683865 -1.5 0.3502349961 26.45 26.13
0.00695008139883208 0.0008984303526349245 -1.5 0.3502349961 26.45 26.13
