slope error qpv qph qv qh
0.005398981613183055 0.00036374723417406066 -1.35 0.3502349961 26.18 26.13
0.004761869335037394 0.0003117377512260557 -1.35 0.3502349961 26.18 26.13
0.006239394560759674 0.0004218862246340955 -1.35 0.3502349961 26.18 26.13
0.007724256282820264 0.0004447550301105246 -1.4 0.3502349961 26.18 26.13
0.009679761422022091 0.0005828376488666845 -1.4 0.3502349961 26.18 26.13
0.009435851876347967 0.0007743269707495842 -1.4 0.3502349961 26.18 26.13
0.007776195895675407 0.0004035004735123834 -1.5 0.3502349961 26.18 26.13
0.009930357588262781 0.0005461072075704103 -1.5 0.3502349961 26.18 26.13
0.006588738231025459 0.0004177831285545277 -1.5 0.3502349961 26.18 26.13
0.007011378707254715 0.0005929930264073059 -1.5 0.3502349961 26.18 26.13
0.008945235277718249 0.0005775982395215782 -1.5 0.3502349961 26.18 26.13
0.010413766019895972 0.0007057562067034806 -1.5 0.3502349961 26.18 26.13
0.008883316784096242 0.0002966787575813819 -1.5 0.3502349961 26.18 26.13
0.008067018732787376 0.0005120258751237373 -1.5 0.3502349961 26.18 26.13
0.00816469096398207 0.00045914346940020823 -1.5 0.3502349961 26.18 26.13
0.006176400077466277 0.00034653175606871894 -1.5 0.3502349961 26.18 26.13
0.007378368713345919 0.0007173441349893596 -1.5 0.3502349961 26.18 26.13
0.005457380081102984 0.0008213824892362646 -1.5 0.3502349961 26.18 26.13
0.006492478889811249 0.00036843632881412397 -1.5 0.3502349961 26.18 26.13
0.008941782624349998 0.0005819240647956447 -1.5 0.3502349961 26.18 26.13
0.006114431818952166 0.00033021737821752566 -1.5 0.3502349961 26.18 26.13
0.008851529785977195 0.0005399719704368992 -1.5 0.3502349961 26.18 26.13
