slope error qpv qph
0.0 0.0 0.1 0.25
0.0 0.0 0.0 0.25
0.0 0.0 0.0 0.25
0.000700813481565921 6.386897953736661e-06 -0.05 0.25
0.0008344085644639746 7.154642783068415e-06 -0.05 0.25
0.0014320545694716021 1.2872024896160937e-05 -0.1 0.25
0.0017599668872317576 1.6233218405484723e-05 -0.1 0.25
0.0014915918611479808 1.3914659860505068e-05 -0.1 0.25
0.0018696481606352972 1.212005294124979e-05 -0.1 0.25
0.0016975963795949492 1.2547319122005589e-05 -0.1 0.25
0.0016968432997223333 1.218099063907553e-05 -0.1 0.25
0.001755375421689327 1.2548830787183745e-05 -0.1 0.25
0.002260922373244405 1.946958748845368e-05 -0.15 0.25
0.002299465471766582 1.5758539786565696e-05 -0.15 0.25
0.0023774842226616795 2.115019979456121e-05 -0.15 0.25
0.0022769542660218004 1.607084123495941e-05 -0.15 0.25
0.00240390630683653 1.9537005222991174e-05 -0.15 0.25
0.002415468878184884 1.747232823430982e-05 -0.15 0.25
0.0023794624873977478 1.7633410320728646e-05 -0.15 0.25
0.002362725517704309 1.801055775182329e-05 -0.2 0.25
0.0027597320295121882 2.2468210459304463e-05 -0.2 0.25
0.0028887585169423097 1.9265437075347445e-05 -0.2 0.25
0.0027863623958786702 2.7092254695269108e-05 -0.2 0.25
0.0028829488430617105 2.505257550617712e-05 -0.2 0.25
0.002680313197255132 2.205688673589261e-05 -0.2 0.25
0.0027791684558990688 2.139903465533847e-05 -0.2 0.25
0.00329635537324097 2.9882679702373615e-05 -0.25 0.25
0.003226856922806341 3.245784261582202e-05 -0.25 0.25
0.0030136373467232734 2.5718740479047758e-05 -0.25 0.25
0.0031281375823579323 2.7630905156094905e-05 -0.25 0.25
0.0031232072550512937 2.9515542847552924e-05 -0.25 0.25
0.0033182278555840194 3.706765578230507e-05 -0.25 0.25
0.003106099927655207 2.7822469055750182e-05 -0.25 0.25
0.003123353359120279 2.9091848828448675e-05 -0.25 0.25
0.0035924842300789966 3.642261042998657e-05 -0.3 0.25
0.0034387352510735314 3.135855160375661e-05 -0.3 0.25
0.0032891982125381396 3.962521897430064e-05 -0.3 0.25
0.0034837446365666093 3.663249213386807e-05 -0.3 0.25
0.003489964536278571 3.273703166164776e-05 -0.3 0.25
0.0034365271398651195 3.279826970436401e-05 -0.3 0.25
0.003572140573185319 3.570580331011801e-05 -0.35 0.25
0.0038253316678951996 3.924607102446835e-05 -0.35 0.25
0.003502696324953104 3.968231654337947e-05 -0.35 0.25
0.003932339686783009 5.840783117655012e-05 -0.35 0.25
0.004342241882632338 7.542058523467694e-05 -0.35 0.25
0.004267655157092265 6.374143160502474e-05 -0.35 0.25
0.004078492125125475 6.86678164761047e-05 -0.4 0.25
0.004224769809913958 6.068642557440859e-05 -0.4 0.25
0.004156140230704889 7.603930657308061e-05 -0.4 0.25
0.004984604030275845 7.908007222542277e-05 -0.4 0.25
0.004463557237422458 9.435047058515943e-05 -0.4 0.25
0.004984389201777181 0.00011423758184931355 -0.4 0.25
0.004517444195345593 8.061953455948918e-05 -0.4 0.25
0.00503147897940223 7.983926849704359e-05 -0.4 0.25
0.005317796129975947 0.00014428192631833715 -0.45 0.25
0.005597687184508906 0.00016221994366598085 -0.45 0.25
0.004884044458908334 0.00011535618087211829 -0.45 0.25
0.005362689716503726 0.00015795939381780096 -0.45 0.25
0.004665048747234312 9.81172920741926e-05 -0.45 0.25
0.004836062875442323 0.00012117316589700043 -0.45 0.25
0.005107849729950415 0.0001474274583685211 -0.45 0.25
0.004919725125181837 0.00011052992576148151 -0.5 0.25
0.005452959046779203 0.00020957441712509436 -0.5 0.25
0.005559229595131227 0.00014524049318189198 -0.5 0.25
0.006150361424115438 0.0002216121737127196 -0.5 0.25
0.0058405368099885115 0.00022363124474630389 -0.5 0.25
0.006300058889287023 0.000316439022264552 -0.5 0.25
0.005547210510378914 0.00017819449275466415 -0.5 0.25
0.005811886966279225 0.00017332468428763465 -0.5 0.25
0.005696280670221436 0.0002135033670066315 -0.5 0.25
0.00586594165984596 0.00020676310502251138 -0.5 0.25
0.005618674100971417 0.00015392897924124046 -0.55 0.25
0.005657298164081728 0.00023414170113168244 -0.55 0.25
0.005150288209489496 0.00013705240935223232 -0.55 0.25
0.007883377477517505 0.00042729307821189776 -0.55 0.25
0.006591384628384483 0.000508831398369754 -0.55 0.25
0.005916750327473569 0.00022381891198195114 -0.55 0.25
0.0051752656112899476 0.00011005269378341457 -0.55 0.25
0.005569215975273878 0.0001514581126654447 -0.55 0.25
0.007189599834045165 0.00031655426943330903 -0.55 0.25
0.006568491665191672 0.0003167821246788107 -0.55 0.25
0.00638647025559761 0.00028228023089890556 -0.55 0.25
0.005978669647371347 0.0001759233465843201 -0.55 0.25
0.005749998479480961 0.0001320396084825258 -0.55 0.25
0.00627832082591999 0.00024320900631061903 -0.55 0.25
0.0057867364590595445 0.00020137619001195655 -0.6 0.25
0.00521293189582636 7.225771165503821e-05 -0.6 0.25
0.005000267821177131 6.882371758224313e-05 -0.6 0.25
0.0052190018176024085 0.00011153026025275055 -0.6 0.25
0.005123616660552824 5.4557667895912824e-05 -0.6 0.25
0.0049989600846343145 6.98771415263049e-05 -0.6 0.25
0.005060661356029555 4.681909984474066e-05 -0.65 0.25
0.004738449726392523 0.00011033856105853485 -0.65 0.25
0.004109414393184144 2.9880805302931007e-05 -0.65 0.25
0.004595286563240403 0.0001275228443021033 -0.65 0.25
0.0047548543600721815 0.00010206765899046759 -0.65 0.25
0.004595346398112496 0.00013455344297692037 -0.65 0.25
0.0044892032329734 0.00018792834578774283 -0.65 0.25
0.004704167642900906 0.00014093724490842099 -0.65 0.25
0.004550835289384517 9.383682205479217e-05 -0.7 0.25
0.004439372365580994 0.00015553751826757369 -0.7 0.25
0.00446034190024506 0.0001985159605159714 -0.7 0.25
0.004488160332755686 0.00016236674733832214 -0.7 0.25
0.004323010219693459 0.00016123625687528177 -0.7 0.25
0.004530238053957533 0.0001603798836870795 -0.7 0.25
0.004211147936970889 0.0002446534261464222 -0.7 0.25
0.004514827130991046 4.436943250984544e-05 -0.75 0.25
0.004453359605678499 3.857250587567797e-05 -0.75 0.25
0.0044387906204181584 5.466031862638357e-05 -0.75 0.25
0.00409183686404099 0.00011015578715986147 -0.75 0.25
0.004466451720240472 7.856461526729291e-05 -0.75 0.25
0.004381254768496112 5.113526205318455e-05 -0.75 0.25
0.004340517769649827 3.284442335678578e-05 -0.75 0.25
0.004358826361760071 3.4419447424272115e-05 -0.8 0.25
0.0037500620575133016 6.41513910825649e-05 -0.8 0.25
0.0032367069221434994 0.00010516522863038063 -0.8 0.25
0.003539054519155918 7.073574895319899e-05 -0.8 0.25
0.0038417902375707707 7.007672030619091e-05 -0.8 0.25
