slope error qpv qph
0.0005388620457453813 7.92526750772648e-06 -0.05 0.25
0.0005711518469844761 7.351760110421473e-06 -0.05 0.25
0.0006492054588504001 7.507368793482647e-06 -0.05 0.25
0.0006695886960519907 8.272388919176378e-06 -0.05 0.25
0.0005648694191664277 6.604548216261497e-06 -0.05 0.25
0.0005198811139144845 9.218459893576633e-06 -0.05 0.25
0.0009386051703619709 1.113953391295208e-05 -0.1 0.25
0.0007849227045785206 1.4194796561959381e-05 -0.1 0.25
0.0010404964103785178 1.2882983043200812e-05 -0.1 0.25
0.0008860887645387356 1.5387145464771854e-05 -0.1 0.25
0.0010644076212066038 1.379403185229868e-05 -0.1 0.25
0.0014622439821261012 1.8583844589926437e-05 -0.15 0.25
0.00142573535088928 1.631804329835011e-05 -0.15 0.25
0.0014802373410137536 1.705783082970463e-05 -0.15 0.25
0.0014852221398907676 1.799798477715782e-05 -0.15 0.25
0.0013961384524994954 1.7858326622796532e-05 -0.15 0.25
0.0014330766443179561 1.6487734078378043e-05 -0.15 0.25
0.0019214713300260762 2.1666657551914498e-05 -0.2 0.25
0.002029090103064157 2.1291799969604096e-05 -0.2 0.25
0.00188455553670318 1.8972749133458985e-05 -0.2 0.25
0.002029359835679601 2.316643965700759e-05 -0.2 0.25
0.0017961621240914195 2.2042915105182803e-05 -0.2 0.25
0.002268745372956006 3.823631637246412e-05 -0.25 0.25
0.002383532079393631 2.7525647166625216e-05 -0.25 0.25
0.00263252435999782 1.9568333236066613e-05 -0.25 0.25
0.002376629863188146 2.6034192734529435e-05 -0.25 0.25
0.0022091957845614867 2.9800111088096783e-05 -0.25 0.25
0.002408765929416321 2.3929241251095965e-05 -0.25 0.25
0.0024483540814978213 2.5603384496037916e-05 -0.25 0.25
0.002644608946270588 4.1741861587542324e-05 -0.3 0.25
0.0027455092993394904 3.319409561281453e-05 -0.3 0.25
0.002652724406153059 3.3124516376656776e-05 -0.3 0.25
0.0026361911512647997 3.38780589796444e-05 -0.3 0.25
0.0026977381452160582 3.200081660807878e-05 -0.3 0.25
0.0025729015963904494 4.197151222704591e-05 -0.3 0.25
0.0029204243623543124 2.8287673395668463e-05 -0.35 0.25
0.0027778079593990127 4.905491067591366e-05 -0.35 0.25
0.0028317189619768697 3.862310689510023e-05 -0.35 0.25
0.0031892776334684816 3.2737053736706215e-05 -0.35 0.25
0.002922107826284001 4.2194021872889834e-05 -0.35 0.25
0.00285367450942234 6.249140273353911e-05 -0.4 0.25
0.003346806783688702 3.9688507960878496e-05 -0.4 0.25
0.003148150464557334 4.730309780867643e-05 -0.4 0.25
0.003101699137677201 3.8490792530914036e-05 -0.4 0.25
0.0033681567166907564 3.4682483276721793e-05 -0.4 0.25
0.003063914020858578 5.21756014561192e-05 -0.4 0.25
0.0032885333945848133 6.234569502405498e-05 -0.45 0.25
0.003461911804634318 4.0290873788260194e-05 -0.45 0.25
0.0033363077463045756 5.304621521855848e-05 -0.45 0.25
0.0033140418240206714 5.015192327461422e-05 -0.45 0.25
0.0034295418818827282 5.5422440912504795e-05 -0.45 0.25
0.0036497885757499323 5.047093316933872e-05 -0.45 0.25
0.003348121562250602 4.8301146823097534e-05 -0.5 0.25
0.0039364656616023225 9.495866138691008e-05 -0.5 0.25
0.003721476079288125 6.307902116182123e-05 -0.5 0.25
0.0038702021529727904 5.1217999362952995e-05 -0.5 0.25
0.003740283891942242 4.1847131215047665e-05 -0.5 0.25
0.0037352317083396425 6.250466401244325e-05 -0.5 0.25
0.0034080010614655036 7.47433169571096e-05 -0.5 0.25
0.004132345034477085 5.296617288691447e-05 -0.5 0.25
0.0037438272817212318 6.456184855751379e-05 -0.5 0.25
0.004430081339670721 3.9737505800053265e-05 -0.55 0.25
0.0043130514118515486 3.614866981000887e-05 -0.55 0.25
0.004178850086202221 4.070238069574267e-05 -0.55 0.25
0.004236727074590566 5.420946921622485e-05 -0.55 0.25
0.004197020402590085 3.8514678720063995e-05 -0.55 0.25
0.004262626738315593 4.7212295258797597e-05 -0.55 0.25
0.004428113854185498 5.7365741837879066e-05 -0.55 0.25
0.004194406199409717 5.771476138617233e-05 -0.6 0.25
0.004530857110656323 5.588454318783108e-05 -0.6 0.25
0.004612657936312218 4.0488784745182555e-05 -0.6 0.25
0.004059920240561965 7.646366932443876e-05 -0.6 0.25
0.00448293697461911 5.091274794158796e-05 -0.6 0.25
0.00469101027493558 3.753374158904161e-05 -0.6 0.25
0.004702388216051833 4.320752904321601e-05 -0.6 0.25
0.004682629713277004 4.1134350180782086e-05 -0.65 0.25
0.004763863671480845 4.231266698230794e-05 -0.65 0.25
0.00345951860360299 3.941384732272966e-05 -0.65 0.25
0.004739095350928881 3.40835766153764e-05 -0.65 0.25
0.004627301277008904 8.512361628877291e-05 -0.65 0.25
0.004634519428401745 6.11997026337828e-05 -0.65 0.25
0.00446255412667886 6.300022001673279e-05 -0.65 0.25
0.004454512291521917 5.204471290378918e-05 -0.7 0.25
0.004425980082187787 8.210141421620899e-05 -0.7 0.25
0.004409889077089184 6.929466143192822e-05 -0.7 0.25
0.004517019836372759 5.822303372744409e-05 -0.7 0.25
0.0048684012876192345 4.068677887957329e-05 -0.7 0.25
0.004273494355309949 4.967194243215453e-05 -0.75 0.25
0.004184461164673323 5.115285010510042e-05 -0.75 0.25
0.003940005886757258 7.21294486396308e-05 -0.75 0.25
0.003978479455001924 5.9605644331997245e-05 -0.75 0.25
0.0038309859709628967 5.6672108498413544e-05 -0.75 0.25
0.004080003373793691 5.6223364190852524e-05 -0.75 0.25
0.0042220853384651825 3.6857683146065165e-05 -0.75 0.25
0.0034475197539787046 5.976305062337227e-05 -0.8 0.25
0.003337530024250165 4.834816326943404e-05 -0.8 0.25
0.003273278316255941 5.012837650894315e-05 -0.8 0.25
0.003347502202289228 5.407685188735202e-05 -0.8 0.25
0.0033873871126678086 6.0338730428200194e-05 -0.8 0.25
0.0033838363868398604 8.904659085302627e-05 -0.8 0.25
0.003190156894128406 6.958919952097843e-05 -0.8 0.25
0.0026509138070914674 9.91747554191059e-05 -0.85 0.25
0.0027666645142360095 0.00010419180112968269 -0.85 0.25
0.0027897520064853894 4.8561891866883065e-05 -0.85 0.25
0.002660134038134313 6.609503107716806e-05 -0.85 0.25
0.0024137897155848157 0.0001029746552284735 -0.85 0.25
0.0028294004174208615 8.166037099064816e-05 -0.85 0.25
0.002736960190260946 0.00011154693676714489 -0.85 0.25
0.00277315408089445 9.681743847224588e-05 -0.85 0.25
0.0034373061013862486 0.00012567101262998053 -0.9 0.25
0.0031580104885071446 0.00010142850257080911 -0.9 0.25
0.0038612617996557153 0.00011466985889047603 -0.9 0.25
0.003223955015306974 0.00015678446880187314 -0.9 0.25
0.0037793259485056794 0.00013473809428916613 -0.9 0.25
0.0038041010707969185 0.00010854994609097417 -0.9 0.25
0.0034619848506082817 0.00015563202537874983 -0.9 0.25
0.004077178775269526 0.00013444695744462565 -0.95 0.25
0.003994206778289502 0.00012258520469247148 -0.95 0.25
0.003842237583068566 9.380534152812941e-05 -0.95 0.25
0.0037998627583240466 9.189430605396232e-05 -0.95 0.25
0.004226322853563292 7.06603666894523e-05 -0.95 0.25
0.0040310194145015375 7.224097607772304e-05 -0.95 0.25
0.0033333320412171005 0.00012638356215892188 -1.0 0.25
0.0038231117438370164 5.5352472826441155e-05 -1.0 0.25
0.0038664069314676944 5.0718164619451843e-05 -1.0 0.25
0.00356996362617549 5.876122704898688e-05 -1.0 0.25
0.003466853968473692 4.54550983497582e-05 -1.0 0.25
0.0028069517900313405 8.585441310861037e-05 -1.05 0.25
0.0032906469433865685 6.341871454237826e-05 -1.05 0.25
0.002985477325148419 6.48414684102177e-05 -1.05 0.25
0.0032431814640699625 4.313289293210645e-05 -1.05 0.25
0.003501169869487883 6.030613953948996e-05 -1.05 0.25
0.0031147637214327516 5.782355922703735e-05 -1.05 0.25
0.003049608395716413 4.473482066716887e-05 -1.05 0.25
0.002985729263457287 5.918763566346439e-05 -1.1 0.25
0.0034378257017559813 0.00010196192613353346 -1.1 0.25
0.002655345444757442 8.380266568957842e-05 -1.1 0.25
0.0028888947480987227 7.809657412147893e-05 -1.1 0.25
0.0031675373365494942 8.593647995076927e-05 -1.1 0.25
0.0031464404694738165 7.040770286757059e-05 -1.1 0.25
0.0030911541182745564 8.057215379918553e-05 -1.15 0.25
0.003423051902444154 0.00010291808612861259 -1.15 0.25
0.003227435053736969 0.00011497043523755144 -1.15 0.25
0.003576008585486941 7.139702394917508e-05 -1.15 0.25
0.003605655292520585 0.00011530826279921418 -1.15 0.25
0.0032804925773543725 8.598371162585292e-05 -1.15 0.25
0.0034034113821716744 7.894555346802171e-05 -1.15 0.25
0.0037007727302804977 0.00016454623195313756 -1.2 0.25
0.003526568987133051 9.956613160981972e-05 -1.2 0.25
0.004218448503545099 0.00011981169611189929 -1.2 0.25
0.0044355316658057165 0.0001284921130017868 -1.2 0.25
0.0041442351016238105 9.082528897665592e-05 -1.2 0.25
0.004645802423950889 0.00010718267389724284 -1.2 0.25
0.00468741504541747 7.24830989167036e-05 -1.2 0.25
0.004606620474538631 7.722595281279628e-05 -1.2 0.25
0.004299132499399095 8.194972478821978e-05 -1.2 0.25
0.004778602267904832 9.737823933856401e-05 -1.25 0.25
0.005022188057374041 8.458132475842673e-05 -1.25 0.25
0.004744131862666525 7.078597612915299e-05 -1.25 0.25
0.0047296178047248096 7.936093351429557e-05 -1.25 0.25
0.004980000808563571 8.873713551367438e-05 -1.25 0.25
0.00478070522598889 9.509028750681775e-05 -1.3 0.25
0.005024419360315938 0.00020501378048166927 -1.3 0.25
0.005228495367106577 0.0001145709325119882 -1.3 0.25
0.005102401981094315 0.00015171348680947382 -1.3 0.25
0.005524728631238432 0.0001170987273105467 -1.3 0.25
0.005168212946869387 0.0001170675317528348 -1.3 0.25
0.005637755317397212 0.0001357054108507387 -1.3 0.25
0.005693272182802838 0.00015443086737079495 -1.35 0.25
0.005919040266161068 8.74227854896842e-05 -1.35 0.25
0.0057373584672117 0.00013734431226239955 -1.35 0.25
0.005530751207301954 8.495340802182432e-05 -1.35 0.25
0.00551323899612047 0.0001271052973182263 -1.35 0.25
0.0055807250095711945 0.00011835166892979665 -1.4 0.25
0.005891984720872766 7.306397614218708e-05 -1.4 0.25
0.00460566069041552 0.0001774489056604955 -1.4 0.25
0.0055625716546865486 0.00013636308112752087 -1.4 0.25
0.005324153511827452 0.00015052391642041236 -1.4 0.25
0.005384794560523834 0.00014115272001687454 -1.4 0.25
0.005543758185378225 0.00011166132914692967 -1.4 0.25
0.005594928900643368 8.302928072002612e-05 -1.4 0.25
0.00568226903586375 0.0001512059243452207 -1.4 0.25
0.00474946525233431 0.00011255679531646898 -1.45 0.25
0.004748072467208823 0.00014062618369411274 -1.45 0.25
0.004194415077178522 0.00013259589412810166 -1.45 0.25
0.0052059851277077894 0.00013252168883565342 -1.45 0.25
0.004883060219463504 0.0001243981959375355 -1.45 0.25
0.003964724467566017 0.0002060170520949291 -1.5 0.25
0.00490129994600456 0.0001251398953489407 -1.5 0.25
0.004362811344160724 0.0001470419894231899 -1.5 0.25
0.004153993224955096 0.00016165363253786726 -1.5 0.25
0.004496900034061863 0.00011090599383765452 -1.5 0.25
0.00436042267575169 0.00014129861078910892 -1.5 0.25
0.004800134043633731 0.00011688428113671772 -1.55 0.25
0.0032867921299041384 8.384209211075499e-05 -1.55 0.25
0.0028996646635809273 0.0001240737024265592 -1.55 0.25
0.0038286429427155 9.434040407456909e-05 -1.55 0.25
0.0037100734136976065 0.0001237228453085767 -1.55 0.25
0.0033403830239634863 0.00011774057778008607 -1.55 0.25
0.0031516016017548894 0.00010049361476997003 -1.55 0.25
0.003277056948603452 0.00012592196241370678 -1.55 0.25
0.0027530816745533065 6.709324296745277e-05 -1.6 0.25
0.002843212280105116 7.545323782644312e-05 -1.6 0.25
0.00277788484180595 7.860088088152411e-05 -1.6 0.25
0.00289250395840525 9.133877229153359e-05 -1.6 0.25
0.0028142082684626357 0.00012154653754906395 -1.6 0.25
0.003212437536669274 0.0001211501187441749 -1.6 0.25
0.002533258158465265 8.261686476662232e-05 -1.6 0.25
0.0026996586774701973 7.307775679974239e-05 -1.6 0.25
0.00222941280703153 4.556014627135407e-05 -1.65 0.25
0.00242031260413071 0.00010835638122266936 -1.65 0.25
0.0021344900822709303 9.099954141680515e-05 -1.65 0.25
0.0020464324179402275 5.8726043380659796e-05 -1.65 0.25
0.0022555815106415104 8.409893026026707e-05 -1.65 0.25
0.0019743342353490743 5.350886543834861e-05 -1.65 0.25
0.0019264679165841897 5.058107132409634e-05 -1.7 0.25
0.001017327915290018 5.117650400769423e-05 -1.7 0.25
0.0009653963380956042 0.00010058072306986814 -1.7 0.25
0.002055977510498017 5.210716309856831e-05 -1.7 0.25
0.0019277317633994019 4.194287751774228e-05 -1.7 0.25
0.002030917376055667 4.595575691594336e-05 -1.7 0.25
0.0013602752274742534 0.00011330801487899943 -1.7 0.25
0.0010382776211098337 5.847064057785554e-05 -1.75 0.25
0.0011138334613964899 6.005112694973667e-05 -1.75 0.25
0.0007385370192771991 6.174938839079712e-05 -1.75 0.25
0.0011262979279362893 4.6622008702522225e-05 -1.75 0.25
0.0016925035392170334 5.6519815609819075e-05 -1.75 0.25
0.000796418772341546 2.9681380050069922e-05 -1.75 0.25
0.001302137841138744 5.499731903106249e-05 -1.75 0.25
0.0013765147388970715 7.209269103219136e-05 -1.75 0.25
0.0007011611808227594 4.738854863635845e-05 -1.8 0.25
0.000992735501497399 4.783061678626241e-05 -1.8 0.25
0.0012334140452500719 5.6642317599264844e-05 -1.8 0.25
0.0008002445575031515 7.058718508854815e-05 -1.8 0.25
0.0011878914743443417 4.895121303013555e-05 -1.8 0.25
