slope error qpv qph
0.0007095763833666227 3.9478381833347955e-06 0.4 0.0
0.0007672500714301413 4.075373658414401e-06 0.4 0.0
0.0007992263375473208 2.2542027612622873e-06 0.4 0.0
0.0008105757978701565 2.3867484125648988e-06 0.4 0.0
0.0006718840221364349 3.90243666838075e-06 0.4 0.0
0.0013236402936723842 6.20058011290101e-06 0.4 -0.1
0.0011484049140024774 7.825529508602405e-06 0.4 -0.1
0.0012955668296526584 4.916163092235002e-06 0.4 -0.1
0.0012312491064393415 7.832418998191475e-06 0.4 -0.1
0.0012546983767004066 4.960837612359887e-06 0.4 -0.1
0.001220418082502029 4.9091948743923204e-06 0.4 -0.1
0.0013498129637556494 7.810853810901156e-06 0.4 -0.2
0.001349633383670836 9.057922057323626e-06 0.4 -0.2
0.0014580314484242264 8.061565330383858e-06 0.4 -0.2
0.0014337194406357848 6.602051920638404e-06 0.4 -0.2
0.0013913421565398504 7.560491945184491e-06 0.4 -0.2
0.0012960700237416376 1.0850473801659945e-05 0.4 -0.3
0.0013034684180378176 8.499902564945748e-06 0.4 -0.3
0.0013016021304984385 8.823177068294663e-06 0.4 -0.3
0.000835148664647832 1.073404876573933e-05 0.4 -0.4
0.0009502072954636258 8.054680806604835e-06 0.4 -0.4
0.0010084831705573741 1.075925604417998e-05 0.4 -0.4
0.0010156679065318715 8.303769155389048e-06 0.4 -0.4
0.0008814323920069152 1.0073121923112072e-05 0.4 -0.4
0.0004514453359719106 5.315849874359814e-06 0.4 -0.5
0.0005492226140557144 3.6709529215235145e-06 0.4 -0.5
0.0005259644623540697 4.385554272053186e-06 0.4 -0.5
0.0003742921781553628 7.09221100036513e-06 0.4 -0.6
0.00012340987105997287 1.399570636862015e-06 0.4 -0.6
0.0004076248045087789 4.511667002041497e-06 0.4 -0.7
0.00040608712277489097 4.905925594256549e-06 0.4 -0.7
0.0003547778759016398 5.353826256955546e-06 0.4 -0.7
0.0003545453517407271 4.177620396021962e-06 0.4 -0.7
0.00020231832133565562 7.618792728746742e-06 0.4 -0.8
0.0 0.0 0.4 -0.8
0.0 0.0 0.4 -0.8
0.0 0.0 0.4 -0.9
0.0 0.0 0.4 -0.9
0.0 0.0 0.4 -1.0
0.0 0.0 0.4 -1.1
0.0 0.0 0.4 -1.1
0.0 0.0 0.4 -1.2
0.0 0.0 0.4 -1.2
0.0 0.0 0.4 -1.2
0.0 0.0 0.4 -1.3
0.0 0.0 0.4 -1.3
0.0 0.0 0.4 -1.4
0.0 0.0 0.4 -1.4
0.0 0.0 0.4 -1.5
0.0 0.0 0.4 -1.5
0.0 0.0 0.4 -1.6
0.0 0.0 0.4 -1.7
0.0 0.0 0.4 -1.7
0.0 0.0 0.4 -1.7
0.0 0.0 0.4 -1.8
0.0 0.0 0.4 -1.8
0.0 0.0 0.4 -1.9
0.0 0.0 0.4 -1.9
0.0 0.0 0.4 -1.9
