slope error qpv qph
6.688751464577558e-05 2.944169090025232e-07 0.055 0.25
7.857697482296856e-05 4.141799074166929e-07 0.055 0.25
7.182387347433893e-05 3.6847509596476933e-07 0.055 0.25
7.250159238560842e-05 3.716380472792484e-07 0.055 0.25
9.104442820271251e-05 4.830278925171365e-07 0.055 0.25
0.00044370498634524756 4.490525513241822e-06 0.035 0.25
0.0004274029015902601 3.499011494033631e-06 0.035 0.25
0.0004543765243686011 4.144806762192467e-06 0.035 0.25
0.0004700893604141077 3.788300130888131e-06 0.035 0.25
0.00043935368896249016 3.93663291116361e-06 0.035 0.25
0.0004622558091612578 3.843016237368964e-06 0.035 0.25
0.0028106857399914265 6.071362263900482e-05 -0.165 0.25
0.002981152965450427 5.872542964575321e-05 -0.165 0.25
0.0030912859155137144 7.129687614756145e-05 -0.165 0.25
0.0029943856548453472 6.126579073804979e-05 -0.165 0.25
0.0031560146820322913 5.335500729007509e-05 -0.165 0.25
0.004812222329135966 0.00021299084360459485 -0.365 0.25
0.004536721706157037 0.00037074466703466324 -0.365 0.25
0.004639802236113854 0.00021892964417332802 -0.365 0.25
0.0046470865192626025 0.0002408801085000185 -0.365 0.25
0.00523236743032984 0.000257929452325932 -0.365 0.25
0.004329684737855343 0.00024366912678555136 -0.365 0.25
0.0045309994383863844 0.0002589157296456048 -0.365 0.25
0.00446941369630845 0.002377574053249402 -0.565 0.25
0.005246748284853961 0.0007485091516257465 -0.565 0.25
0.005066236815558998 0.0006099308197517987 -0.565 0.25
0.005055674469575263 0.000729794819476973 -0.565 0.25
0.0050901458761298335 0.0005357614309868872 -0.565 0.25
0.004848590997117766 0.0005443821256248604 -0.565 0.25
