slope error qpv qph
0.0 0.0 0.055 0.25
0.0 0.0 0.055 0.25
0.0 0.0 0.045 0.25
0.0 0.0 0.04 0.25
0.0 0.0 0.03 0.25
0.0 0.0 0.03 0.25
0.0 0.0 0.01 0.25
0.0 0.0 0.0 0.25
0.0 0.0 -0.01 0.25
0.0006902389795150108 8.78643124171867e-06 -0.05 0.25
0.0005241834761210616 5.522786796426306e-06 -0.03 0.25
0.0001345807331183434 1.8850661921663532e-06 -0.02 0.25
0.00016121859638888465 2.199408110439898e-06 -0.02 0.25
0.0029035224083848324 3.0596409216029026e-05 -0.22 0.25
0.002765793755501173 2.816974018738906e-05 -0.22 0.25
0.002820373778482753 3.6853504643080085e-05 -0.22 0.25
0.002511608415600004 2.1150007080751115e-05 -0.22 0.25
0.0024108717987691543 2.0153837657566335e-05 -0.22 0.25
0.0032136118359863486 6.242360374527832e-05 -0.42 0.25
0.003326957688658078 4.414248878931906e-05 -0.42 0.25
0.0038181908488673093 7.161023940307789e-05 -0.42 0.25
0.0035815888680361214 5.561787264280045e-05 -0.42 0.25
0.003456531457358263 3.9894276176152376e-05 -0.42 0.25
0.004602204226132175 5.245688288904552e-05 -0.62 0.25
0.004543390820486236 4.220934603970093e-05 -0.62 0.25
0.004638882920809713 5.548919402398229e-05 -0.62 0.25
0.004484206520006249 8.844078771269316e-05 -0.62 0.25
0.0033164933351894207 4.6588558977714845e-05 -0.82 0.25
0.003395946015842526 7.380233979431745e-05 -0.82 0.25
0.003112866845586225 5.168549955717171e-05 -0.82 0.25
0.0032423557381261376 4.5462982359308096e-05 -0.82 0.25
0.0033042318366814896 6.595222211192749e-05 -0.82 0.25
0.003278485987497439 5.7463184716636133e-05 -1.02 0.25
0.0033861484009288637 5.832688892086323e-05 -1.02 0.25
0.003775482162347064 5.148317720164938e-05 -1.02 0.25
0.0034487176455132284 4.9151492646511534e-05 -1.02 0.25
0.004998875758859002 0.0001629437880119735 -1.22 0.25
0.0044766596774989675 9.817435846785533e-05 -1.22 0.25
0.004779218384399601 0.00014960989120028779 -1.22 0.25
0.0043898671924592625 0.00011320935900786958 -1.22 0.25
0.0046167254085341695 0.00016567137768161303 -1.22 0.25
0.0045158441433367285 8.582190096260127e-05 -1.22 0.25
0.00544527361535921 0.00010842627700331153 -1.42 0.25
0.005818340998578557 0.00017572430103662706 -1.42 0.25
0.0061870457850497565 0.00011248608386382079 -1.42 0.25
0.00547779936117097 0.00015284036529645238 -1.42 0.25
0.005637605607264082 6.020324845497847e-05 -1.42 0.25
0.00590404363344137 0.0002425326559051996 -1.42 0.25
0.002702188476233831 9.234358281441106e-05 -1.62 0.25
0.0033012381378119417 0.00014486747132210086 -1.62 0.25
0.0025092439284090783 0.00010494968273142557 -1.62 0.25
0.001511153355234048 0.00013659595431164296 -1.82 0.25
0.001177696345634729 4.218131031636245e-05 -1.82 0.25
0.0010632736282793172 4.816036040075009e-05 -1.82 0.25
0.000815980106038141 2.5747347445201254e-05 -1.82 0.25
0.0006092432783616663 1.7695332647477695e-05 -2.02 0.25
0.0004779452961352664 3.0832171182638735e-05 -2.02 0.25
0.0006492273785433501 2.833557395937433e-05 -2.02 0.25
0.0005883309871893318 2.7184788160798154e-05 -2.02 0.25
0.00045394419465515193 1.7260965982878442e-05 -2.02 0.25
0.00048334237829319397 1.8175326364406618e-05 -2.02 0.25
0.0005709148223180338 6.2591303486905e-06 -0.03 0.25
0.0005931389717141814 5.597625273906518e-06 -0.03 0.25
0.00047534043527693357 5.5865868066225885e-06 -0.03 0.25
0.0012501641293738558 1.0091297647423992e-05 -0.12 0.25
0.0014863292006576999 1.9732614558597825e-05 -0.12 0.25
0.0014372405626852747 1.6854987897749253e-05 -0.12 0.25
0.0015275227554900222 1.7810405836026637e-05 -0.12 0.25
0.0016247156016960895 1.824197155222713e-05 -0.12 0.25
0.001547631828184505 1.8717223268914425e-05 -0.12 0.25
0.0014066850196807524 1.3613639457716772e-05 -0.12 0.25
0.002786484251646322 3.7949193681393134e-05 -0.32 0.25
0.002926225185084813 3.093641431936855e-05 -0.32 0.25
0.0028417061289495744 3.4103436309592136e-05 -0.32 0.25
0.0031414316811822565 2.2675021803731084e-05 -0.32 0.25
0.0031095077498113203 3.117278559708035e-05 -0.32 0.25
0.0028421783988081414 3.354150570737047e-05 -0.32 0.25
0.0037717842187001806 5.38418526474756e-05 -0.52 0.25
0.004201041092784706 6.237932353494022e-05 -0.52 0.25
0.003965392160333657 5.938038124933904e-05 -0.52 0.25
0.0039441440762318 5.5825362816260876e-05 -0.52 0.25
0.004669083540245855 3.072461394233761e-05 -0.72 0.25
