slope error QPH QPV
0.0013865110583957463 2.5409837971705005e-08 0.1 -0.05
0.0030696621237871367 1.9008910404701727e-07 0.1 -0.15
0.002391793061353462 7.223543081678632e-08 0.1 -0.1
0.003930657015961594 1.0350097636432184e-06 0.1 -0.25
0.00355605303103001 4.633971820590795e-07 0.1 -0.2
0.00441110354882793 3.467745509413827e-06 0.1 -0.35
0.004205577783148121 1.9456333133430345e-06 0.1 -0.3
0.0049393121755002154 2.0563957659175958e-05 0.1 -0.45
0.004633785372473324 1.0140805545254356e-05 0.1 -0.4
0.006202143957800607 3.394707170186472e-06 0.1 -0.55
0.00550380344916107 7.263680180878883e-06 0.1 -0.5
0.006998804014971688 2.6782534870560452e-05 0.1 -0.65
0.0068481806288784265 1.5228052700988647e-05 0.1 -0.6
0.005997090415394484 2.2122610667397057e-05 0.1 -0.75
0.006670111277253008 3.097183197800892e-05 0.1 -0.7
0.004835161421281894 2.7494232667103243e-05 0.1 -0.85
0.0054682877042912335 2.3662945045987665e-05 0.1 -0.8
0.004068051431268198 2.298810337551252e-05 0.1 -0.95
0.004483691175846751 2.475113922266114e-05 0.1 -0.9
0.0037860937145953594 1.4117581455233583e-05 0.1 -1.05
0.0037887448414714586 1.6050720338363635e-05 0.1 -1.0
0.003987142632920106 1.89877403322617e-05 0.1 -1.15
0.003844978949602949 1.6822772687190987e-05 0.1 -1.1
0.00420818201201084 2.3467212029672625e-05 0.1 -1.25
0.00423852020607924 2.2677698790817613e-05 0.1 -1.2
0.004018738006777082 1.8183100304148876e-05 0.1 -1.35
0.004112147746187177 1.735347632372975e-05 0.1 -1.3
0.0034371673254612613 1.7953829710894143e-05 0.1 -1.45
0.003810652382104197 1.49140766418406e-05 0.1 -1.4
0.0027511500640100806 1.9243620545370753e-05 0.1 -1.55
0.0029522296287980004 2.5341248948714514e-05 0.1 -1.5
0.0013385066558965464 3.219615001340209e-05 0.1 -1.65
0.002217938276805092 2.5221172476600765e-05 0.1 -1.6
0.0004332974202640086 3.838382821404805e-05 0.1 -1.75
0.001481879209003842 2.5402287731976176e-05 0.1 -1.7
0.0003183748879238739 3.861939714239003e-05 0.1 -1.85
0.0006220921040619276 3.816755374639659e-05 0.1 -1.8
8.40101804718708e-05 5.63784721462228e-05 0.1 -1.95
0.0004747124107959198 3.9840299383212155e-05 0.1 -1.9
0.00029772987900514644 3.953272757410431e-05 0.1 -2.0
0.0 0.0 0.1 0.0
