slope error QPH QPV
0.001065044605259144 8.478725814886261e-08 0.1 -0.05
0.0030012538535759427 1.938006800472393e-07 0.1 -0.15
0.0022210510860812016 8.002163414638357e-08 0.1 -0.1
0.003947734272785092 7.068256311225672e-07 0.1 -0.25
0.00354333921594342 5.474699630097059e-07 0.1 -0.2
0.004494444225696895 2.5189961850293226e-06 0.1 -0.35
0.004247255455614936 1.6836384604237757e-06 0.1 -0.3
0.005102380891136589 1.0800625282897073e-05 0.1 -0.45
0.004749416225054351 4.686795040975678e-06 0.1 -0.4
0.006244444265245095 3.980595310506901e-06 0.1 -0.55
0.005591951592004522 7.151064946158597e-06 0.1 -0.5
0.007052172326974829 1.576870081497009e-05 0.1 -0.65
0.0068384019908659995 9.105229676782918e-06 0.1 -0.6
0.005962249375469186 1.396343557818817e-05 0.1 -0.75
0.006645381080972718 1.5431529852026446e-05 0.1 -0.7
0.004609369831762733 9.544572302888921e-06 0.1 -0.85
0.005241800563250728 1.3741366330265606e-05 0.1 -0.8
0.003691309120755798 2.304532528267522e-05 0.1 -0.95
0.004082451571443336 1.569935337874425e-05 0.1 -0.9
0.0 0.0 0.1 0.0
0.0034312642900537677 3.408643753193143e-05 0.1 -1.05
0.003460754781409848 3.332280815713195e-05 0.1 -1.0
0.003938186686601656 3.1724611080050497e-05 0.1 -1.15
0.003646150690509752 3.536894841774584e-05 0.1 -1.1
0.004631907539962016 2.8865075431987814e-05 0.1 -1.25
0.0041845045413822085 2.8158377109989873e-05 0.1 -1.2
0.0055564152685776145 3.2151249183711714e-05 0.1 -1.35
0.004895923723187206 2.946511440207537e-05 0.1 -1.3
0.005396312622905889 2.4624251455574743e-05 0.1 -1.45
0.0056484669977429685 2.9473630301179113e-05 0.1 -1.4
0.00260299668489316 2.1083317608107655e-05 0.1 -1.55
0.004163773693072944 2.5373821659821222e-05 0.1 -1.5
0.0006548470928498628 5.748727069311962e-05 0.1 -1.65
0.0007065370856941521 4.589199457490342e-05 0.1 -1.6
0.00046878436300334047 5.028784441449766e-05 0.1 -1.75
0.0008002760930376594 4.002959448285383e-05 0.1 -1.7
0.00013553124458365743 5.4867617303801454e-05 0.1 -1.85
0.00014263100466649608 5.311069989323889e-05 0.1 -1.8
0.00025237719614390854 4.4370720060075215e-05 0.1 -1.95
0.00024872683295912946 5.018920578013678e-05 0.1 -1.9
0.0 0.0 0.1 -2.0
