slope error QPH QPV
0.0010650597423265155 2.036456709814349e-07 0.1 -0.05
0.002992644952517535 2.450660270721676e-07 0.1 -0.15
0.0022165178859703807 9.495611638834963e-08 0.1 -0.1
0.003931283947995819 9.2449190913147e-07 0.1 -0.25
0.0035371885657695286 5.018933518456939e-07 0.1 -0.2
0.004472242774138962 2.589435129734898e-06 0.1 -0.35
0.004238529964566393 1.8380212103143628e-06 0.1 -0.3
0.005079058853597491 7.3519652329560175e-06 0.1 -0.45
0.004735527284233104 4.917987102915617e-06 0.1 -0.4
0.006234334632959259 5.8378181900804516e-06 0.1 -0.55
0.005586681697314142 9.23620967341984e-06 0.1 -0.5
0.0070475807066940795 1.3599053073380072e-05 0.1 -0.65
0.006839424439336429 1.0217788077324065e-05 0.1 -0.6
0.00594895987601184 1.2672001745441929e-05 0.1 -0.75
0.006671284502728708 1.271237296353238e-05 0.1 -0.7
0.004572141114037868 1.7717243798602485e-05 0.1 -0.85
0.005203462345181797 1.9182394716182987e-05 0.1 -0.8
0.0035641891846074345 2.5797536516411183e-05 0.1 -0.95
0.0040851095051632315 1.572961402234991e-05 0.1 -0.9
0.0 0.0 0.1 0.0
0.0033006799859555415 4.06020463545029e-05 0.1 -1.05
0.003186944547634992 4.020348973302013e-05 0.1 -1.0
0.0036266777483374766 3.791451117630142e-05 0.1 -1.15
0.003379164390221063 4.219165364086641e-05 0.1 -1.1
0.003677517602614414 3.5423756340927825e-05 0.1 -1.25
0.0035491529188895906 4.477844130458553e-05 0.1 -1.2
0.003306885510584309 2.734524831807449e-05 0.1 -1.35
0.003651030160011245 3.054522752815883e-05 0.1 -1.3
0.0023095126650233082 3.823360924346373e-05 0.1 -1.45
0.002878202435602868 3.565964064161919e-05 0.1 -1.4
0.0004998083051023415 4.814426897169021e-05 0.1 -1.55
0.0012709044250652304 5.2057051974560106e-05 0.1 -1.5
0.0 0.0 0.1 -1.65
0.0006817676167399557 5.1933210172295155e-05 0.1 -1.6
0.0 0.0 0.1 -1.75
0.0 0.0 0.1 -1.7
0.0 0.0 0.1 -1.85
0.00026483136532967893 5.16275731861337e-05 0.1 -1.8
0.0003260606320628431 8.083662777365165e-05 0.1 -1.95
0.00021243380099685767 7.693457809838414e-05 0.1 -1.9
0.0 0.0 0.1 -2.0
